Region;District;Konie (sztuki);Byd≥o rogate (sztuki);Trzoda chlewna (sztuki);Owce i kozy (sztuki)
STANIS£AWOWSKIE;T£UMACKI;15189.0;30100.0;14542.0;3145.0
STANIS£AWOWSKIE;åNIATY—SKI;9498.0;18599.0;10662.0;7389.0
STANIS£AWOWSKIE;ØYDACZOWSKI;11637.0;30818.0;8693.0;339.0
TARNOPOLSKIE;BORSZCZOWSKI;17889.0;28386.0;21964.0;19725.0
TARNOPOLSKIE;BRODZKI;14959.0;31816.0;27935.0;6251.0
TARNOPOLSKIE;BRZEØA—SKI;19100.0;28666.0;14460.0;2916.0
TARNOPOLSKIE;BUCZACKI;20560.0;38601.0;14706.0;3633.0
TARNOPOLSKIE;CZORTKOWSKI;13118.0;20888.0;13902.0;2181.0
TARNOPOLSKIE;KAMIONECKI;14381.0;26865.0;18511.0;1676.0
TARNOPOLSKIE;KOPYCZYNIECKI;16798.0;27880.0;18732.0;1652.0
TARNOPOLSKIE;PODHAJECKI;17308.0;29514.0;12433.0;1949.0
TARNOPOLSKIE;PRZEMYåLA—SKI;14499.0;28963.0;12543.0;910.0
TARNOPOLSKIE;RADZIECHOWSKI;14651.0;24362.0;25167.0;11673.0
TARNOPOLSKIE;SKA£ACKI;17991.0;23712.0;14791.0;1479.0
TARNOPOLSKIE;TARNOPOLSKI;23058.0;33604.0;17931.0;1642.0
TARNOPOLSKIE;TREMBOWELSKI;13090.0;20001.0;10662.0;609.0
TARNOPOLSKIE;ZALESZCZYCKI;11528.0;16115.0;10384.0;13183.0
TARNOPOLSKIE;ZBARASKI;16003.0;21012.0;11071.0;4673.0
TARNOPOLSKIE;ZBOROWSKI;16195.0;28079.0;18827.0;2173.0
TARNOPOLSKIE;Z£OCZOWSKI;17198.0;33767.0;18855.0;2106.0
WARSZAWSKIE;B£O—SKI;0.0;27895.0;11818.0;379.0
WARSZAWSKIE;CIECHANOWSKI;16466.0;25200.0;12715.0;2204.0
WARSZAWSKIE;GOSTYNI—SKI;11993.0;31612.0;10857.0;2301.0
WARSZAWSKIE;GR”JECKI;21816.0;49968.0;31068.0;3125.0
WARSZAWSKIE;KUTNOWSKI;16376.0;39758.0;15811.0;2456.0
WARSZAWSKIE;LIPNOWSKI;17438.0;42815.0;22089.0;7047.0
WARSZAWSKIE;MAKOWSKI (MAK”W MAZOWIECKI);13635.0;27399.0;14499.0;2985.0
WARSZAWSKIE;MI—SKI;12478.0;31873.0;18337.0;1531.0
WARSZAWSKIE;M£AWSKI;17637.0;39021.0;13092.0;1603.0
WARSZAWSKIE;NIESZAWSKI;17314.0;37697.0;21240.0;5531.0
WARSZAWSKIE;PRZASNYCKI;13416.0;29722.0;9215.0;2428.0
WARSZAWSKIE;PU£TUSKI;17598.0;41543.0;21691.0;1816.0
WARSZAWSKIE;P£OCKI;20171.0;42145.0;21224.0;2886.0
WARSZAWSKIE;P£O—SKI;15785.0;36444.0;17812.0;3256.0
WARSZAWSKIE;RADZYMI—SKI;10061.0;23531.0;7376.0;537.0
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);13074.0;32209.0;19212.0;7101.0
WARSZAWSKIE;RYPI—SKI;14690.0;34533.0;19826.0;5345.0
WARSZAWSKIE;SIERPECKI;15385.0;40012.0;16286.0;2992.0
WARSZAWSKIE;SKIERNIEWICKI;8830.0;23840.0;11547.0;2150.0
WARSZAWSKIE;SOCHACZEWSKI;11051.0;29444.0;11706.0;362.0
WARSZAWSKIE;WARSZAWSKI;16058.0;27709.0;11859.0;437.0
WARSZAWSKIE;W£OC£AWSKI;16030.0;31850.0;16135.0;8029.0
WARSZAWSKIE;£OWICKI;16001.0;46329.0;14078.0;2570.0
WO£Y—SKIE;DUBIE—SKI;54465.0;64572.0;50081.0;4281.0
WO£Y—SKIE;HOROCHOWSKI;37117.0;43559.0;33761.0;3799.0
WO£Y—SKIE;KOSTOPOLSKI;25992.0;71813.0;34370.0;19361.0
WO£Y—SKIE;KOWELSKI;48959.0;101152.0;45661.0;42232.0
WO£Y—SKIE;KRZEMIENIECKI;58016.0;64085.0;33265.0;17823.0
WO£Y—SKIE;LUBOMELSKI;16509.0;35601.0;13080.0;19114.0
WO£Y—SKIE;R”WIE—SKI;51144.0;64753.0;50517.0;14964.0
WO£Y—SKIE;W£ODZIMIERSKI;35675.0;45596.0;24964.0;6443.0
WO£Y—SKIE;ZDO£BUNOWSKI;25264.0;30308.0;26572.0;5950.0
WO£Y—SKIE;£UCKI;59000.0;91824.0;59513.0;15640.0
ZIEMIA WILE—SKA;BRAS£AWSKI;28257.0;50974.0;24714.0;43630.0
ZIEMIA WILE—SKA;DZIåNIE—SKI;31846.0;55238.0;33492.0;49268.0
ZIEMIA WILE—SKA;MO£ODECZA—SKI;15893.0;31957.0;25749.0;25127.0
ZIEMIA WILE—SKA;OSZMIA—SKI;19940.0;39636.0;26469.0;30397.0
ZIEMIA WILE—SKA;POSTAWSKI;23253.0;43013.0;20693.0;37426.0
ZIEMIA WILE—SKA;WILEJSKI;23554.0;50594.0;33452.0;27993.0
ZIEMIA WILE—SKA;WILE—SKO-TROCKI;38563.0;77739.0;57366.0;43610.0
ZIEMIA WILE—SKA;WILNO (MIASTO);534.0;932.0;385.0;76.0
ZIEMIA WILE—SKA;åWI CIA—SKI;28506.0;49700.0;28791.0;48288.0
£”DZKIE;BRZEZI—SKI;11821.0;31421.0;12774.0;2310.0
£”DZKIE;KALISKI;17615.0;44508.0;14890.0;3306.0
£”DZKIE;KOLSKI;16685.0;39407.0;20933.0;2257.0
£”DZKIE;KONI—SKI;14963.0;30482.0;14645.0;5027.0
£”DZKIE;PIOTRKOWSKI;23303.0;52324.0;20554.0;5707.0
£”DZKIE;RADOMSZCZA—SKI;21963.0;49438.0;17614.0;7447.0
£”DZKIE;SIERADZKI;19060.0;48710.0;18782.0;1746.0
£”DZKIE;S£UPECKI;13813.0;34720.0;12778.0;4167.0
£”DZKIE;TURECKI;14706.0;38586.0;15013.0;1800.0
£”DZKIE;WIELU—SKI;19387.0;50632.0;21360.0;3583.0
