Region;District;Roman Catholic;% Roman Catholic;Greek Catholic;% Greek Catholic;Orthodox;% Orthodox;Evangelical;% Evangelical;Mosaic (Jewish);% Mosaic (Jewish);Other Christian denominations;% Other Christian;Other or unknown;% Other
STANISŁAWOWSKIE;KAŁUSKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);;;;;;;;;;;;;;
STANISŁAWOWSKIE;KOŁOMYJSKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;ROHATYŃSKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;STANISŁAWOWSKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;STRYJSKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;TŁUMACKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;ŚNIATYŃSKI;;;;;;;;;;;;;;
STANISŁAWOWSKIE;ŻYDACZOWSKI;;;;;;;;;;;;;;
TARNOPOLSKIE;BORSZCZOWSKI;;;;;;;;;;;;;;
TARNOPOLSKIE;BRODZKI;;;;;;;;;;;;;;
TARNOPOLSKIE;BRZEŻAŃSKI;;;;;;;;;;;;;;
TARNOPOLSKIE;BUCZACKI;;;;;;;;;;;;;;
TARNOPOLSKIE;CZORTKOWSKI;;;;;;;;;;;;;;
TARNOPOLSKIE;KAMIONECKI;;;;;;;;;;;;;;
TARNOPOLSKIE;KOPYCZYNIECKI;;;;;;;;;;;;;;
TARNOPOLSKIE;PODHAJECKI;;;;;;;;;;;;;;
TARNOPOLSKIE;PRZEMYŚLAŃSKI;;;;;;;;;;;;;;
TARNOPOLSKIE;RADZIECHOWSKI;;;;;;;;;;;;;;
TARNOPOLSKIE;SKAŁACKI;;;;;;;;;;;;;;
TARNOPOLSKIE;TARNOPOLSKI;;;;;;;;;;;;;;
TARNOPOLSKIE;TREMBOWELSKI;;;;;;;;;;;;;;
TARNOPOLSKIE;ZALESZCZYCKI;;;;;;;;;;;;;;
TARNOPOLSKIE;ZBARASKI;;;;;;;;;;;;;;
TARNOPOLSKIE;ZBOROWSKI;;;;;;;;;;;;;;
TARNOPOLSKIE;ZŁOCZOWSKI;;;;;;;;;;;;;;
WARSZAWSKIE;BŁOŃSKI;126320;0,878295695;58;0,000403271;306;0,0021276;3238;0,022513628;11803;0,08206558;1743;0,012118979;356;0,002475248
WARSZAWSKIE;CIECHANOWSKI;71681;0,910084684;18;0,000228534;35;0,000444371;1672;0,021228242;4907;0,062300827;307;0,003897769;143;0,001815573
WARSZAWSKIE;GOSTYNIŃSKI;66955;0,82086899;25;0,0003065;32;0,00039232;9134;0,111982934;4654;0,057058088;730;0,008949808;36;0,00044136
WARSZAWSKIE;GRÓJECKI;112267;0,848213544;51;0,000385322;197;0,001488399;2798;0,021139796;16640;0,125720589;136;0,001027524;268;0,002024827
WARSZAWSKIE;KUTNOWSKI;95701;0,886103961;63;0,000583323;98;0,000907391;1385;0,012823837;10353;0,095859336;225;0,002083295;177;0,001638859
WARSZAWSKIE;LIPNOWSKI;83662;0,800593301;50;0,000478469;92;0,000880383;15830;0,151483254;4172;0,039923445;565;0,005406699;129;0,00123445
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);57822;0,881957261;32;0,000488095;26;0,000396577;327;0,004987721;7172;0,109394305;34;0,000518601;148;0,00225744
WARSZAWSKIE;MIŃSKI;88582;0,797080975;23;0,000206959;71;0,000638874;815;0,007333555;14896;0,134037595;6594;0,059334311;152;0,001367731
WARSZAWSKIE;MŁAWSKI;94385;0,915195237;29;0,000281196;42;0,000407249;694;0,006729305;7782;0,075457428;15;0,000145446;184;0,001784139
