Region;District;Konie (sztuki);Bydło rogate (sztuki);Trzoda chlewna (sztuki);Owce (sztuki);Kozy (sztuki)
TARNOPOLSKIE;BORSZCZOWSKI;19014.0;30169.0;30493.0;20722.0;773.0
TARNOPOLSKIE;BRODZKI;14942.0;30248.0;25056.0;5317.0;165.0
TARNOPOLSKIE;BRZEŻAŃSKI;19336.0;30663.0;18014.0;2215.0;680.0
TARNOPOLSKIE;BUCZACKI;20651.0;38740.0;20633.0;3004.0;1034.0
TARNOPOLSKIE;CZORTKOWSKI;13290.0;21686.0;17999.0;1330.0;407.0
TARNOPOLSKIE;KAMIONECKI;15936.0;30306.0;22641.0;1724.0;48.0
TARNOPOLSKIE;KOPYCZYNIECKI;16923.0;28614.0;24310.0;1325.0;561.0
TARNOPOLSKIE;PODHAJECKI;18505.0;31609.0;15781.0;1599.0;626.0
TARNOPOLSKIE;PRZEMYŚLAŃSKI;14860.0;30831.0;16815.0;818.0;251.0
TARNOPOLSKIE;RADZIECHOWSKI;14359.0;24121.0;29126.0;11581.0;62.0
TARNOPOLSKIE;SKAŁACKI;18015.0;24470.0;20381.0;1339.0;292.0
TARNOPOLSKIE;TARNOPOLSKI;23389.0;35457.0;22290.0;1232.0;494.0
TARNOPOLSKIE;TREMBOWELSKI;13363.0;21652.0;14329.0;235.0;265.0
TARNOPOLSKIE;ZALESZCZYCKI;11430.0;16295.0;14086.0;13248.0;562.0
TARNOPOLSKIE;ZBARASKI;15958.0;22013.0;13269.0;4451.0;139.0
TARNOPOLSKIE;ZBOROWSKI;15951.0;27845.0;19527.0;1044.0;238.0
TARNOPOLSKIE;ZŁOCZOWSKI;17423.0;35709.0;21368.0;2014.0;196.0
WARSZAWSKIE;BŁOŃSKI;13113.0;29766.0;15672.0;211.0;95.0
WARSZAWSKIE;CIECHANOWSKI;16109.0;34939.0;14714.0;2016.0;12.0
WARSZAWSKIE;GOSTYNIŃSKI;12314.0;30979.0;16368.0;2132.0;183.0
WARSZAWSKIE;GRÓJECKI;21359.0;49848.0;41580.0;2086.0;212.0
WARSZAWSKIE;KUTNOWSKI;14583.0;34320.0;17993.0;2066.0;187.0
WARSZAWSKIE;LIPNOWSKI;17764.0;43567.0;30543.0;6182.0;213.0
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);13165.0;25351.0;13299.0;1794.0;48.0
WARSZAWSKIE;MIŃSKI;12523.0;32727.0;26708.0;1385.0;49.0
WARSZAWSKIE;MŁAWSKI;17690.0;38777.0;16500.0;1344.0;137.0
WARSZAWSKIE;NIESZAWSKI;17671.0;38409.0;25186.0;5485.0;416.0
WARSZAWSKIE;PRZASNYCKI;13346.0;29620.0;9988.0;2760.0;33.0
WARSZAWSKIE;PUŁTUSKI;17561.0;41004.0;26586.0;1936.0;60.0
WARSZAWSKIE;PŁOCKI;21180.0;44324.0;27106.0;2404.0;78.0
WARSZAWSKIE;PŁOŃSKI;16196.0;36963.0;22718.0;4525.0;25.0
WARSZAWSKIE;RADZYMIŃSKI;9702.0;24174.0;11876.0;331.0;9.0
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);13430.0;33017.0;26252.0;6933.0;103.0
WARSZAWSKIE;RYPIŃSKI;15176.0;34611.0;27308.0;4273.0;55.0
WARSZAWSKIE;SIERPECKI;15140.0;38184.0;21026.0;2568.0;75.0
WARSZAWSKIE;SKIERNIEWICKI;8927.0;24323.0;15338.0;2269.0;42.0
WARSZAWSKIE;SOCHACZEWSKI;10989.0;28517.0;16191.0;155.0;35.0
WARSZAWSKIE;WARSZAWSKI;16571.0;27774.0;15171.0;352.0;201.0
WARSZAWSKIE;WŁOCŁAWSKI;16352.0;33422.0;21275.0;7618.0;371.0
WARSZAWSKIE;ŁOWICKI;16984.0;45668.0;22096.0;2835.0;133.0
WOŁYŃSKIE;DUBIEŃSKI;55161.0;66967.0;66848.0;4004.0;167.0
WOŁYŃSKIE;HOROCHOWSKI;31293.0;34412.0;30698.0;1576.0;24.0
WOŁYŃSKIE;KOSTOPOLSKI;27552.0;76610.0;39812.0;27311.0;703.0
WOŁYŃSKIE;KOWELSKI;49063.0;102587.0;48431.0;43233.0;143.0
WOŁYŃSKIE;KRZEMIENIECKI;56851.0;62653.0;35217.0;16230.0;230.0
WOŁYŃSKIE;LUBOMELSKI;17449.0;36629.0;16979.0;17762.0;11.0
WOŁYŃSKIE;RÓWIEŃSKI;52200.0;64741.0;54846.0;12367.0;501.0
WOŁYŃSKIE;WŁODZIMIERSKI;36316.0;46855.0;29365.0;5224.0;73.0
WOŁYŃSKIE;ZDOŁBUNOWSKI;25350.0;30213.0;27360.0;4911.0;286.0
WOŁYŃSKIE;ŁUCKI;60642.0;102527.0;74180.0;17261.0;173.0
ZIEMIA WILEŃSKA;BRASŁAWSKI;28031.0;50284.0;28979.0;48686.0;369.0
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;31248.0;54480.0;39948.0;58674.0;286.0
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;15874.0;31897.0;26274.0;27648.0;94.0
ZIEMIA WILEŃSKA;OSZMIAŃSKI;21278.0;41410.0;34605.0;36369.0;118.0
ZIEMIA WILEŃSKA;POSTAWSKI;22947.0;40438.0;22146.0;40836.0;260.0
ZIEMIA WILEŃSKA;WILEJSKI;23540.0;49954.0;37335.0;28632.0;118.0
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;36956.0;79426.0;57900.0;50227.0;359.0
ZIEMIA WILEŃSKA;WILNO (MIASTO);545.0;938.0;468.0;46.0;22.0
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;28174.0;49991.0;28756.0;51040.0;256.0
ŁÓDZKIE;BRZEZIŃSKI;12104.0;33561.0;20318.0;2081.0;130.0
ŁÓDZKIE;KALISKI;18470.0;48148.0;23027.0;1907.0;978.0
ŁÓDZKIE;KOLSKI;16445.0;38285.0;22383.0;2119.0;362.0
ŁÓDZKIE;KONIŃSKI;15181.0;40731.0;25555.0;2921.0;1417.0
ŁÓDZKIE;PIOTRKOWSKI;23431.0;55162.0;31162.0;6739.0;376.0
ŁÓDZKIE;RADOMSZCZAŃSKI;22973.0;52057.0;24437.0;7033.0;127.0
ŁÓDZKIE;SIERADZKI;19666.0;52064.0;32996.0;1346.0;628.0
ŁÓDZKIE;SŁUPECKI;14120.0;35032.0;19994.0;2736.0;1262.0
ŁÓDZKIE;TURECKI;15201.0;39812.0;23210.0;1703.0;297.0
ŁÓDZKIE;WIELUŃSKI;20202.0;54920.0;31120.0;3477.0;652.0
ŁÓDZKIE;ŁASKI;15663.0;39088.0;19622.0;2571.0;199.0
ŁÓDZKIE;ŁÓDZKI;11265.0;28620.0;11192.0;1314.0;291.0
ŁÓDZKIE;ŁÓDŹ (MIASTO);4356.0;1923.0;422.0;22.0;359.0
ŁÓDZKIE;ŁĘCZYCKI;19245.0;46210.0;27793.0;1643.0;277.0
ŚLĄSKIE;BIELSKI (BIELSKO);2542.0;15793.0;9851.0;197.0;750.0
ŚLĄSKIE;BIELSKO (MIASTO);227.0;102.0;69.0;0.0;22.0
ŚLĄSKIE;CIESZYŃSKI;3677.0;24942.0;17762.0;3232.0;1582.0
ŚLĄSKIE;KATOWICE (MIASTO);1283.0;715.0;2210.0;13.0;1613.0
ŚLĄSKIE;KATOWICKI;2303.0;2138.0;3879.0;4.0;7647.0
ŚLĄSKIE;KRÓLEWSKA HUTA;723.0;210.0;1026.0;0.0;1070.0
ŚLĄSKIE;LUBLINIECKI;3825.0;14935.0;9600.0;108.0;913.0
ŚLĄSKIE;PSZCZYŃSKI;7679.0;36457.0;21759.0;113.0;7058.0
ŚLĄSKIE;RYBNICKI;7760.0;32673.0;27584.0;285.0;12667.0
ŚLĄSKIE;TARNOGÓRSKI;1234.0;3918.0;2865.0;32.0;3135.0
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;1888.0;1016.0;4367.0;15.0;6312.0
