Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR
Wielkopolska;WITKOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;4.0;0.0;33.0;0.0;225.0;12.0
Wielkopolska;WOLSZTYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;11.0;0.0;23.0;0.0;97.0;2.0;584.0;42.0
Białostocka;WOŁKOWYSKI;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;17.0;1.0;26.0;3.0;75.0;6.0;488.0;28.0
Poleska;WOŁOŻYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;27.0;2.0;40.0;4.0;390.0;38.0
Wielkopolska;WRZESIŃSKI;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;12.0;1.0;16.0;2.0;56.0;1.0;361.0;28.0
Wielkopolska;WYRZYSKI;1.0;0.0;0.0;0.0;3.0;0.0;6.0;0.0;16.0;0.0;50.0;1.0;45.0;2.0;630.0;33.0
Białostocka;WYSOKOMAZOWIECKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;16.0;0.0;36.0;1.0;353.0;21.0
Pomorska;WĄBRZESKI;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;9.0;1.0;19.0;0.0;61.0;4.0;473.0;46.0
Wielkopolska;WĄGROWIECKI;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;8.0;0.0;26.0;0.0;36.0;0.0;446.0;29.0
Lubelska;WĘGROWSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;14.0;0.0;31.0;0.0;432.0;53.0
Warrszawa Okręgowa;WŁOCŁAWSKI;3.0;0.0;0.0;0.0;3.0;0.0;22.0;0.0;21.0;5.0;41.0;3.0;60.0;5.0;1288.0;101.0
Lubelska;WŁODAWSKI;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;6.0;1.0;13.0;0.0;48.0;0.0;744.0;64.0
Wołyńska;WŁODZIMIERSKI;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;10.0;0.0;20.0;0.0;46.0;2.0;431.0;77.0
Kielecka;WŁOSZCZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;21.0;0.0;57.0;0.0;483.0;17.0
Lwowska;ZALESZCZYCKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;12.0;0.0;23.0;0.0;286.0;7.0
Lubelska;ZAMOJSKI;1.0;0.0;0.0;0.0;1.0;0.0;13.0;0.0;18.0;1.0;34.0;0.0;53.0;1.0;618.0;11.0
Lwowska;ZBARASKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;8.0;0.0;21.0;0.0;273.0;9.0
