Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe
TARNOPOLSKIE;CZORTKOWSKI;70231.0;109959;93340;23619.0;887083.0;232923.0
TARNOPOLSKIE;KAMIONECKI;83206.0;96168;41675;66069.0;811903.0;76752.0
TARNOPOLSKIE;KOPYCZYNIECKI;106664.0;149771;129401;34029.0;1088018.0;218342.0
TARNOPOLSKIE;PODHAJECKI;117216.0;157437;86349;90382.0;949360.0;58785.0
TARNOPOLSKIE;PRZEMYŚLAŃSKI;88854.0;72032;57947;79423.0;837800.0;123772.0
TARNOPOLSKIE;RADZIECHOWSKI;82556.0;111041;59577;72162.0;622669.0;18560.0
TARNOPOLSKIE;SKAŁACKI;102744.0;123373;181286;43957.0;933146.0;73365.0
TARNOPOLSKIE;TARNOPOLSKI;80847.0;135971;173809;109520.0;1057380.0;168902.0
TARNOPOLSKIE;TREMBOWELSKI;66288.0;99005;122181;35459.0;788008.0;48160.0
TARNOPOLSKIE;ZALESZCZYCKI;90289.0;108809;73150;21731.0;736238.0;205008.0
TARNOPOLSKIE;ZBARASKI;61425.0;61451;75829;81518.0;341328.0;40140.0
TARNOPOLSKIE;ZBOROWSKI;37875.0;83652;121282;118333.0;834575.0;168444.0
TARNOPOLSKIE;ZŁOCZOWSKI;93227.0;132161;116049;121725.0;1114406.0;207166.0
WARSZAWSKIE;BŁOŃSKI;59670.0;267027;30007;105578.0;723978.0;453300.0
WARSZAWSKIE;CIECHANOWSKI;70238.0;202462;34577;37085.0;499703.0;707811.0
WARSZAWSKIE;GOSTYNIŃSKI;76207.0;378860;20850;104766.0;1122083.0;308192.0
WARSZAWSKIE;GRÓJECKI;89735.0;501401;40301;186087.0;2044324.0;130001.0
WARSZAWSKIE;KUTNOWSKI;159239.0;336243;58680;151549.0;1164812.0;1593750.0
WARSZAWSKIE;LIPNOWSKI;72903.0;413902;91157;73346.0;1357445.0;378335.0
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);52287.0;237641;18443;49272.0;615148.0;50511.0
WARSZAWSKIE;MIŃSKI;12708.0;195519;30805;69243.0;788541.0;0.0
WARSZAWSKIE;MŁAWSKI;14428.0;465662;18901;41691.0;1394016.0;54795.0
WARSZAWSKIE;NIESZAWSKI;140269.0;452830;134264;54106.0;1331218.0;1641586.0
