Region;District;Population_1921;Population_1931;Population_1938;Cities in district
WARSZAWSKIE;RADZYMIŃSKI;11440.0;19894.0;23279.0;['Radzymin', 'Wołomin']
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);14638.0;15980.0;16370.0;['Biała Rawska', 'Nowe Miasto (nad Pilicą)', 'Rawa Mazowiecka']
WARSZAWSKIE;RYPIŃSKI;7234.0;8348.0;9100.0;['Rypin']
WARSZAWSKIE;SIERPECKI;15197.0;19005.0;21998.0;['Raciąż', 'Sierpc', 'Żuromin']
WARSZAWSKIE;SKIERNIEWICKI;16647.0;20191.0;21214.0;['Skierniewice']
WARSZAWSKIE;SOCHACZEWSKI;5445.0;10822.0;12984.0;['Sochaczew']
WARSZAWSKIE;WARSZAWSKI;43023.0;61273.0;70968.0;['Nowy Dwór (Mazowiecki)', 'Otwock', 'Piaseczno', 'Pruszków', 'Zakroczym']
WARSZAWSKIE;WŁOCŁAWSKI;61312.0;76542.0;89814.0;['Brześć Kujawski', 'Chodecz', 'Kowal', 'Lubień (Kujawski)', 'Lubraniec', 'Przedecz', 'Włocławek']
WARSZAWSKIE;ŁOWICKI;16451.0;17613.0;19000.0;['Łowicz']
WOŁYŃSKIE;DUBIEŃSKI;13386.0;18105.0;23481.0;['Dubno', 'Radziwiłłów']
WOŁYŃSKIE;HOROCHOWSKI;10054.0;12305.0;12893.0;['Beresteczko', 'Horochów']
WOŁYŃSKIE;KOSTOPOLSKI;5484.0;9380.0;17785.0;['Bereźne', 'Kostopol']
WOŁYŃSKIE;KOWELSKI;23228.0;30643.0;38300.0;['Kowel', 'Ratno (dziś Ukraina)']
WOŁYŃSKIE;KRZEMIENIECKI;16068.0;19997.0;22470.0;['Krzemieniec']
WOŁYŃSKIE;LUBOMELSKI;3328.0;4111.0;7800.0;['Luboml']
WOŁYŃSKIE;RÓWIEŃSKI;35428.0;44803.0;53183.0;['Korzec', 'Równe']
WOŁYŃSKIE;SARNEŃSKI;10116.0;14505.0;21526.0;['Dąbrowica', 'Rokitno', 'Sarny']
WOŁYŃSKIE;WŁODZIMIERSKI;3728.0;4771.0;5141.0;['Uściług']
WOŁYŃSKIE;ZDOŁBUNOWSKI;21092.0;23183.0;24384.0;['Ostróg', 'Zdołbunów']
WOŁYŃSKIE;ŁUCKI;30986.0;46034.0;55837.0;['Łuck', 'Ołyka', 'Rożyszcze']
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;11931.0;15612.0;17247.0;['Dokszyce', 'Dzisna', 'Głębokie']
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;6416.0;8538.0;8666.0;['Mołodeczno', 'Radoszkowice (Radoszkowicze)']
ZIEMIA WILEŃSKA;OSZMIAŃSKI;8828.0;11424.0;13500.0;['Oszmiana', 'Smorgonie']
ZIEMIA WILEŃSKA;POSTAWSKI;1074.0;2866.0;4300.0;['Postawy']
ZIEMIA WILEŃSKA;WILEJSKI;3417.0;5848.0;6322.0;['Wilejka']
