District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
DROHICKI,23.33,17.0,18.0,17.8,17.73,18.75,19.4,5.26,0.0,7.17,5.37,2.94
KOBRYŃSKI,20.89,16.6,17.63,16.07,17.53,19.43,19.83,4.78,3.0,7.58,5.3,3.55
KOSZYRSKI,20.0,18.0,21.0,18.71,20.09,19.88,22.6,5.7,3.0,6.6,4.15,1.82
ŁUNINIECKI,30.0,22.0,18.67,22.0,22.0,23.25,24.0,6.0,0.0,8.1,5.7,4.58
PIŃSKI,26.88,16.11,18.0,17.41,17.65,18.83,25.4,5.74,4.5,7.08,5.39,2.89
PRUŻAŃSKI,22.3,17.33,17.63,17.36,17.79,19.5,18.88,6.19,4.8,8.41,6.31,3.92
STOLIŃSKI,22.6,18.33,18.33,17.5,18.56,20.6,25.0,6.42,5.7,7.64,5.69,3.04
IWACEWICKI,20.67,15.25,18.0,16.33,17.0,18.13,20.29,4.47,3.54,7.2,4.95,2.87
BRODNICKI,20.462230011931005,16.862240629277192,20.910132013890326,19.102089304154514,19.512005448549797,0.0,21.627128105711332,7.070906413382922,0.48656672853237404,8.817915511983294,7.681241776062052,4.441654466900202
CHEŁMIŃSKI,18.631572528768512,16.685898644341123,18.321316165156457,15.668918281723407,17.27422760227528,0.0,20.120656189661126,5.830670729184044,4.422707394883324,6.971625729658006,5.646051676585741,3.9077007398558954
CHOJNICKI,20.219615810028085,18.05031049760821,18.44515932857219,17.448405781187763,17.369877460911738,0.0,23.918701563792528,6.795509483027081,5.128745927116243,11.24390609594831,8.196476941572605,6.154991358639034
DZIAŁDOWSKI,19.0,16.68,17.8,16.5,16.57,0.0,22.0,5.47,4.5,8.69,7.15,4.49
GRUDZIĄDZ (MIASTO),18.55,17.4,17.79,16.06,17.33,0.0,0.0,6.81,0.0,7.06,5.5,3.38
