District,Pszenica,Żyto,Jęczmień,Owies,Gryka,Ziemniaki jadalne,Siano koniczyny,Siano łąkowe,Słoma,koń roboczy (cena minimalna),koń roboczy (cena maksymalna),krowa dojna (cena minimalna),krowa dojna (cena maksymalna)
BRODNICKI,53.465155456522226,41.35652049957967,42.49741827912534,39.33747313105351,2.395128235526564,15.974427923032017,14.103858750281,10.907338384919106,5.661806123780378,490.35775584849523,1023.7655897387554,426.67668527865925,792.8484196092083
CHEŁMIŃSKI,49.68991177857314,40.21163508864341,38.940096210774236,37.08808101253384,0.12032350282253358,14.312254212056075,10.993610024985884,8.35293336382482,5.064301174329247,363.7987606028449,751.21597407701,380.81909315061205,687.440270084195
CHOJNICKI,52.561588836829635,42.21527882903974,41.426117752234745,41.37636206369821,41.90416729476078,15.879338346295697,10.632248131369451,9.07411747636093,6.06601337121521,280.1326026171363,665.7898449699884,291.9712175232093,579.9772022364875
DZIAŁDOWSKI,49.5,39.2,38.5,37.79,42.0,12.61,11.73,9.18,6.0,353.0,648.0,342.0,578.0
GRUDZIĄDZ (MIASTO),49.77,39.4,38.77,38.3,0.0,13.18,11.13,9.06,4.11,353.0,744.0,365.0,674.0
GRUDZIĄDZKI,48.70060846333857,38.55342522514646,37.936961826876356,37.47706056150024,0.0,12.896805697142902,10.890853369438583,8.865330775122512,4.021689788714517,345.4152056973782,728.0139179570805,357.1573656644279,659.5179848159572
KARTUSKI,47.69457966481357,39.67978804069889,37.84971266985303,38.47850779727187,0.0,15.898193221604522,11.224462274521256,9.65716695692506,6.569501331241538,288.1195583844503,593.1321201920931,285.30405781391823,531.1911076403871
KOŚCIERSKI,49.27113805598923,39.393659045070834,38.28222049813859,38.825967880801834,0.0,12.87816244930383,10.620289703862287,8.47864980159913,4.926135487680674,312.4947026747292,693.5717118007283,298.9843474598513,569.1414717533784
LUBAWSKI,47.34520642599664,37.46881190369053,37.94918128707118,36.930798194304195,0.0,12.489603967896842,9.607387667612956,8.348819883155658,3.535518661681568,280.5357198942983,642.7342349633067,325.6904419320792,538.9744481530868
SĘPOLEŃSKI,48.69,39.13,38.62,38.45,0.0,13.44,10.0,7.67,5.25,305.0,611.0,374.0,613.0
STAROGARDZKI,62.89392919567492,50.35260127109326,49.83062879771524,49.69723331046305,0.0008685958088632582,16.71958181049666,13.981558528798011,11.680882328720234,6.4921728960126295,343.687411468906,818.4416382776872,416.81956186674824,790.3865367282294
ŚWIECKI,49.714674611008306,40.446581781393164,39.456328486115126,38.854033819156726,36.45545337622843,14.007348993641108,11.83146627994999,9.744615175080668,5.253381651284328,300.6313578172271,734.6117907256194,358.66614560255834,694.634216466359
TCZEWSKI,82.3823405691475,68.4779371475449,67.01790584485447,64.69789888870103,0.0,22.101429489529806,17.291192980313195,13.220907778022578,6.54708171715464,600.0361719978346,1386.0845172641712,648.3728674719922,1253.7478217900134
TORUŃ (MIASTO),51.03244875694128,39.665031261319285,39.03014890119146,37.861159158733884,0.0,15.448804096443716,14.36043433622459,11.589122446777738,6.651148534672441,399.0689120803465,785.0370770469442,374.88291740881033,742.711586371756
TORUŃSKI,50.62154809006885,39.403800521617704,38.74999177302256,37.563765897304066,0.0,15.298363376868702,14.135989759431842,11.388787385680025,6.546626239222179,394.96695463131294,778.2428137494567,372.4477971453738,735.4379632876319
TUCHOLSKI,52.946081016487284,43.3499220894139,42.280083773374265,41.04949923989581,4.01918723037939,14.4009949944413,9.839374812603065,8.923644480178574,6.283874331250216,322.36439543549716,721.2169684428658,345.28147298185644,633.397581290039
WĄBRZESKI,45.93038157734181,37.24899334152608,37.051261071512926,36.99476613722345,38.60487176447344,12.391222254157816,9.622970473973623,7.6268161290788985,4.434852341723656,326.7290366407874,723.1351589052585,332.3785300697347,627.0937706131539
MORSKI,50.472424972643594,41.3364194796978,39.8946923974896,38.73809697176948,0.0,18.862600296917403,13.398189634260342,11.625184417021979,7.748928224271928,361.3906201325396,774.2636235355877,369.091841446104,656.4827416474335
GDYNIA (MIASTO),1.147982528623445,0.9395944745243613,0.9072504306508893,0.879295935588817,0.0,0.43086887017160896,0.3061132723739313,0.26568321753209134,0.17696812576485388,8.270834076216408,17.74301835344749,8.455657184064819,15.016877512683422
BYDGOSKI,48.24592257174912,37.27413947707804,37.22426773573863,36.974909029041555,0.0,15.15103501891398,12.348243155638913,11.24109049790392,6.0943267916763935,374.03806004560516,686.2351608303369,416.9277575975012,721.1453797679268
BYDGOSZCZ (MIASTO),48.49407742825087,37.46586052292196,37.41573226426137,37.16509097095844,0.0,15.228964981086019,12.411756844361088,11.298909502096079,6.125673208323606,375.9619399543948,689.764839169663,419.0722424024987,724.8546202320732
