District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VaR,Kategoria VaPR,Kategoria VbR,Kategoria VbPR
ŚREDZKI,1.0,0.0,70.0,1.0,387.0,18.0,141.0,38.0,0.0,0.0,9.0,2.0
ŚREMSKI,0.0,0.0,33.545847992529644,5.919855528093467,518.9740012961939,20.719494348327135,236.79422112373868,41.43898869665427,0.0,0.0,19.732851760311554,0.0
WĄGROWIECKI,2.0,0.0,34.0,0.0,486.0,11.0,111.0,13.0,2.0,0.0,21.0,0.0
WOLSZTYŃSKI,0.0,0.0,38.0,3.0,463.0,29.0,188.0,18.0,4.0,2.0,23.0,2.0
WRZESIŃSKI,0.0,0.0,31.0,1.2357391164543108,469.85534682648324,25.70721734936293,101.3763036138513,14.060826024044399,2.1178695582271554,0.0,14.353608674681466,7.0
WYRZYSKI,1.0,1.0,154.0,0.0,661.0,29.0,174.0,20.0,2.0,0.0,15.0,1.0
ŻNIŃSKI,0.9981922773459774,0.0,64.00265510285097,0.0,337.1264826310791,5.021348382695559,66.07580680524566,10.992909575422877,1.9963845546919547,0.0,12.019889533157386,0.003198631154281344
POZNAŃSKI,0.9701151439957407,0.0,15.666110946599936,0.9580927571067338,469.2009584707414,26.766485264543512,359.83504332275317,45.71193744267606,13.353186665049238,1.9041631273244606,53.12420937486078,0.036067160667020974
GNIEZNO (MIASTO),3.0,0.0,150.0,1.0006574444679328,526.0470072794571,19.0019723334038,202.03451583456646,45.0029585001057,2.0003287222339665,0.0,23.0009861667019,2.0
INOWROCŁAW (MIASTO),10.0,1.0,192.0,8.0,730.0,38.0,203.0,32.0,13.0,2.0,26.0,2.0
DOLIŃSKI,1.8937749934171777,0.0,21.778412424297542,1.8937749934171777,483.8595108180889,12.309537457211656,445.98401094974537,16.09708744404601,2.8406624901257667,0.0,9.468874967085888,0.0
HORODEŃSKI,0.0,0.0,3.8973155253901774,0.0,292.2986644042633,15.58926210156071,613.827195248953,30.204195321773874,0.0,0.0,1.9486577626950887,0.0
KAŁUSKI,0.0,0.0,17.120470092382373,0.9511372273545763,222.56611120097085,4.755686136772882,529.783435636499,32.338665730055595,0.0,0.0,3.804548909418305,0.0
KOŁOMYJSKI,3.0,1.0,133.10268447460982,6.0,751.7013355957367,21.41073789843929,935.172804751047,62.795804678226126,2.0,1.0,29.05134223730491,8.0
KOSOWSKI (KOSÓW HUCULSKI),0.0,0.0,18.0,2.0,268.0,12.0,471.0,42.0,58.0,43.0,20.0,3.0
NADWÓRNIAŃSKI,1.0,0.0,53.999306953305975,10.03123106111636,963.9525213838135,182.2572336037476,307.1904844133858,73.49079526603066,2.0,5.0,13.56207209767694,6.0
ROHATYŃSKI,0.0,0.0,8.0,0.0,204.0,5.0,890.0,28.0,0.0,0.0,0.0,0.0
STANISŁAWOWSKI,10.0,0.0,259.56471161131543,11.025049313079508,1352.5617664494564,51.272526434556205,1044.6852275223137,79.75637174486035,1.0148352031008874,0.007417601550443713,5.6853022037578596,0.04450560930266228
STRYJSKI,2.1062250065828225,2.0,148.22158757570247,8.106225006582822,1006.1404891819111,45.690462542788346,707.742410447324,51.74587564144984,1.1593375098742338,0.0,30.851915244186138,0.0
ŚNIATYŃSKI,1.0,0.0,33.0,6.0,450.0,26.0,387.0,39.0,0.0,0.0,5.0,0.0
TŁUMACKI,0.0,0.0,45.37485215539974,0.0,570.1448814308924,14.796147441978178,379.76778434410653,17.755376930373814,0.0,0.0,0.0,0.0
ŻYDACZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,780.2735786029307,58.15703691450415,0.0,0.0,41.679209788727974,0.0
BIELSKI (BIELSKO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIELSKO (MIASTO),0.0,0.0,521.0,11.0,832.0,41.0,451.0,35.0,3.0,0.0,51.0,0.0
CIESZYŃSKI,5.0,0.0,191.0,3.0,672.0,38.0,244.0,40.0,4.0,0.0,30.0,1.0
TARNOGÓRSKI,4.0,0.0,137.0,1.0,394.0,22.0,184.0,50.0,4.0,0.0,12.0,0.0
KATOWICE (MIASTO),91.0,0.0,913.0,7.0,2600.0,78.0,1862.0,254.0,48.0,7.0,520.0,27.0
KATOWICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBLINIECKI,0.0,0.0,107.0,3.0,240.0,16.0,90.0,15.0,2.0,0.0,14.0,0.0
PSZCZYŃSKI,7.0,0.0,203.0,6.0,752.0,37.0,432.0,57.0,4.0,1.0,60.0,8.0
RYBNICKI,5.0,0.0,176.0,8.0,1255.0,121.0,543.0,77.0,12.0,2.0,92.0,12.0
ŚWIĘTOCHŁOWICKI,2.953087292999169,0.0,150.60745194295762,5.906174585998338,821.9426298847687,44.29630939498753,881.0043757447521,211.63792266494045,2.953087292999169,0.984362430999723,53.15557127398504,15.749798895995568
CHORZÓW,25.046912707000832,0.0,365.3925480570424,7.093825414001662,787.0573701152313,51.70369060501247,703.9956242552479,106.36207733505955,10.046912707000832,5.015637569000277,147.84442872601497,12.250201104004432
BORSZCZOWSKI,0.0,0.0,6.890143294383287,0.9843061849118981,300.21338639812893,4.921530924559491,735.2767201291879,40.35655358138782,0.0,0.0,0.0,0.0
BRODZKI,1.0,2.0,26.20589825967499,3.0484466493352915,394.81674935007345,6.060558311669114,852.5350296865571,62.27856823367792,0.0,3.0,27.060558311669116,19.0
BRZEŻAŃSKI,0.0,0.0,15.616826998319604,0.0182293896721065,473.46632130015024,19.539263137571613,500.5929072410045,37.582157642155934,0.036458779344213,0.0182293896721065,7.863101668176122,0.109376338032639
BUCZACKI,0.0,0.0,0.0,0.0,531.7852679576076,28.506049483864366,760.8166310521041,44.23352506116885,2.94890167074459,0.0,0.9829672235815299,0.9829672235815299
CZORTKOWSKI,0.0,0.0,24.30415863126847,1.0211518899324707,318.65963779211353,4.193524968932286,553.4404409532812,38.41090320515977,0.05109832925541033,0.0,1.0224908512628388,0.05196307072048777
KAMIONECKI,0.0,0.0,18.78476025108372,0.017686056860956624,257.5755481360084,6.39374503284242,509.03712232836784,28.108873759885938,0.0,0.0,5.209809419113284,1.144141985791984
PODHAJECKI,0.0,0.0,7.794824070219598,0.9743530087774498,292.30590263323495,10.717883096551947,450.1510900551818,44.82023840376269,1.9487060175548996,0.9743530087774498,6.820471061442149,5.846118052664699
PRZEMYŚLAŃSKI,0.0,0.0,6.0,0.0,229.0,4.0,565.0,22.0,0.0,0.0,2.0,0.0
RADZIECHOWSKI,0.0,0.0,16.79410174032501,3.951553350664709,148.18325064992658,4.939441688330886,451.464970313443,22.721431766322077,0.0,0.0,4.939441688330886,0.0
SKAŁACKI,0.0,0.0,30.385202495719902,1.8990751559824939,373.16826815056004,4.747687889956235,750.1346866130851,40.83011585362362,0.0,12.34398851388621,0.0,0.9495375779912469
TARNOPOLSKI,2.9532537132208674,0.0,85.18894789805546,2.9532537132208674,781.8796252300933,31.17821518543719,1001.2469751944644,59.33705064277135,9.84417904406956,1.9688358088139117,24.87495166970252,0.9844179044069559
