District,Roman Catholic,% Roman Catholic,Greek Catholic,% Greek Catholic,Evangelical,% Evangelical,Orthodox,% Orthodox,Mosaic (Jewish),% Mosaic (Jewish),Other Christian denominations,% Other Christian,Other or unknown,% Other
JAROSŁAWSKI,73810.61746975112,0.5397351132365468,50246.15901057144,0.37035413785993976,105.33948877458742,0.0007849806937439094,26.257866557213084,0.00019529853056998592,12094.177617683397,0.08894570509524018,0.15401127286754646,1.8927754418512159e-06,3.8975075261550467,2.8298827770530254e-05
JAWOROWSKI,11072.740998429641,0.13696081360727466,60757.03210296999,0.751618120781766,300.6533015977969,0.0037193948620451033,14.57371962916305,0.00018026722824731324,5183.407190322182,0.06411890230534494,15.202885435926456,0.00018807731972135565,0.0,0.0
KOLBUSZOWSKI,62464.659774542044,0.9307649222637838,28.307056798924386,0.0004216154995227925,95.7315207598099,0.0014226850076409254,0.046839172717279,6.43039389177951e-07,4872.293007412301,0.07259384367441622,0.026021762620710553,3.5724549292620136e-07,0.020817410096568442,2.8579649842801155e-07
KROŚNIEŃSKI,84080.23009349819,1.14205339416525,12738.645110596517,0.16303801957534972,38.0,0.000469437,43.6636262950191,0.0007053774046567589,6245.990468682132,0.08442037385082644,1.0,1.23536e-05,17.0,0.000210011
LESKI,15265.0,0.164891549,66395.0,0.717194521,608.0,0.006567577,14.0,0.000151227,10294.0,0.111195126,0.0,0.0,0.0,0.0
LWOWSKI,70029.0,0.468261663,65084.0,0.43519602,2653.0,0.017739768,99.0,0.000661982,11567.0,0.077344852,106.0,0.000708788,13.0,8.69269e-05
LWÓW (MIASTO),111860.0,0.509872919,27269.0,0.124295768,2670.0,0.012170219,580.0,0.002643718,76854.0,0.350310865,77.0,0.000350976,78.0,0.000355534
ŁAŃCUCKI,81356.67102665939,0.8983614980884711,4655.7822738268005,0.0520458769946983,106.7406775647391,0.0011943279037032225,38.71324506234136,0.0004313068063188448,6879.934607491134,0.07538711596538177,0.0,0.0,1.164595014386467,1.2376747401021857e-05
MOŚCISKI,28475.0,0.338681669,49832.0,0.592701841,46.0,0.000547124,17.0,0.000202198,5684.0,0.0676055,19.0,0.000225986,3.0,3.5682e-05
NIŻAŃSKI,56049.0,0.919967173,877.0,0.014394748,61.0,0.001001231,1.0,1.64136e-05,3936.0,0.064604021,1.0,1.64136e-05,0.0,0.0
PRZEMYSKI,54962.0,0.374921553,68935.0,0.470237933,156.0,0.001064149,83.0,0.000566182,22427.0,0.152985075,15.0,0.000102322,18.0,0.000122786
PRZEWORSKI,51007.0,0.885107934,2958.0,0.051329215,5.0,8.67634e-05,7.0,0.000121469,3650.0,0.063337267,0.0,0.0,1.0,1.73527e-05
RAWSKI (RAWA RUSKA),17648.0,0.1655426,75253.0,0.705891733,513.0,0.004812067,27.0,0.000253267,13161.0,0.123453432,3.0,2.81407e-05,2.0,1.87605e-05
RUDECKI,21116.339543055165,0.2874418350989637,46273.80878044507,0.6298927187296034,246.74872336668716,0.003358815962454517,15.855339654084315,0.00021582783816503757,5136.139089194938,0.06991463847609973,3.9638349135210786,5.395690999332298e-05,5.9457523702816175,8.093536498998447e-05
RZESZOWSKI,152068.0988798424,1.3947859967462788,3237.5726155766833,0.040581160429952,26.2593224352609,0.00018484909629677747,74.62312864263954,0.0010460967890243962,17365.074923826734,0.14501935118379178,0.0,0.0,5.835404985613533,4.1077652598978146e-05
