level,name,path,parent,is_leaf
3,142 Smolarnie i terpentyniarnie,Spis Powszechny 1931/Ludność aktywna zawodowo/142 Smolarnie i terpentyniarnie,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,143 Koksownie,Spis Powszechny 1931/Ludność aktywna zawodowo/143 Koksownie,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,144 Rafinerie ropy naftowej i gazoliniarnie,Spis Powszechny 1931/Ludność aktywna zawodowo/144 Rafinerie ropy naftowej i gazoliniarnie,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,146 Produkcja zapałek,Spis Powszechny 1931/Ludność aktywna zawodowo/146 Produkcja zapałek,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,147 Produkcja jedwabiu sztucznego,Spis Powszechny 1931/Ludność aktywna zawodowo/147 Produkcja jedwabiu sztucznego,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,148 Produkcja wyrobów gumowych,Spis Powszechny 1931/Ludność aktywna zawodowo/148 Produkcja wyrobów gumowych,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,149 Wielki przemysł nieorganiczny,Spis Powszechny 1931/Ludność aktywna zawodowo/149 Wielki przemysł nieorganiczny,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,152 Produkcja przetworów tłuszczowych,Spis Powszechny 1931/Ludność aktywna zawodowo/152 Produkcja przetworów tłuszczowych,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,153 Produkcja mydła,Spis Powszechny 1931/Ludność aktywna zawodowo/153 Produkcja mydła,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,154 Olejarnie,Spis Powszechny 1931/Ludność aktywna zawodowo/154 Olejarnie,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,155 Produkcja wyrobów kosmetycznych i fermaceutycznych,Spis Powszechny 1931/Ludność aktywna zawodowo/155 Produkcja wyrobów kosmetycznych i fermaceutycznych,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,16 Przemysł mineralny,Spis Powszechny 1931/Ludność aktywna zawodowo/16 Przemysł mineralny,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,161 Przemysł mineralny nie wydzielony,Spis Powszechny 1931/Ludność aktywna zawodowo/161 Przemysł mineralny nie wydzielony,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,162 Kamieniołomy,Spis Powszechny 1931/Ludność aktywna zawodowo/162 Kamieniołomy,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,163 Wapienniki i kopalnie gipsu,Spis Powszechny 1931/Ludność aktywna zawodowo/163 Wapienniki i kopalnie gipsu,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,164 Cementownie,Spis Powszechny 1931/Ludność aktywna zawodowo/164 Cementownie,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,165 Betoniarnie,Spis Powszechny 1931/Ludność aktywna zawodowo/165 Betoniarnie,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,166 Cegielnie,Spis Powszechny 1931/Ludność aktywna zawodowo/166 Cegielnie,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,167 Przemysł ceramiczny i garncarstwo,Spis Powszechny 1931/Ludność aktywna zawodowo/167 Przemysł ceramiczny i garncarstwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,168 Huty szkła,Spis Powszechny 1931/Ludność aktywna zawodowo/168 Huty szkła,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,169 Kamieniarstwo,Spis Powszechny 1931/Ludność aktywna zawodowo/169 Kamieniarstwo,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,17-18 Przemysł drzewny,Spis Powszechny 1931/Ludność aktywna zawodowo/17-18 Przemysł drzewny,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,171 Przemysł drzewny nie wydzielony,Spis Powszechny 1931/Ludność aktywna zawodowo/171 Przemysł drzewny nie wydzielony,Spis Powszechny 1931/Ludność aktywna zawodowo,True
3,172 Eksploatacja lasów,Spis Powszechny 1931/Ludność aktywna zawodowo/172 Eksploatacja lasów,Spis Powszechny 1931/Ludność aktywna zawodowo,True
