District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
ROPCZYCKI,19.09,13.68,14.7,13.33,13.21,15.33,21.4,3.56,3.1,5.59,4.33,2.49
TARNOWSKI,19.56,13.75,14.2,13.83,13.94,0.0,17.5,3.84,3.83,6.23,4.77,2.77
WADOWICKI,21.14,16.1,0.0,16.06,15.41,0.0,21.0,5.69,0.0,8.62,5.71,4.11
ŻYWIECKI,23.4,18.14,0.0,16.0,15.0,0.0,0.0,5.57,0.0,8.36,7.0,4.0
BIALSKI (BIAŁA PODLASKA),18.13,13.21,14.25,13.26,12.64,16.21,21.17,2.65,0.0,5.52,4.3,2.42
BIŁGORAJSKI,17.67,12.13,0.0,11.36,11.13,16.21,23.67,3.5,0.0,5.18,4.29,2.71
CHEŁMSKI,17.2,12.55,13.83,12.8,13.0,13.0,15.25,3.17,0.0,4.38,3.63,2.0
GARWOLIŃSKI,17.85,14.31,15.25,13.25,12.46,16.67,22.2,2.78,2.67,5.13,4.3,2.39
HRUBIESZOWSKI,16.11,12.38,13.25,12.44,12.11,15.67,18.75,2.5,1.75,4.08,3.33,1.92
JANOWSKI,17.13,12.43,12.78,11.92,11.92,15.89,21.71,3.31,3.0,4.17,3.98,2.23
KRASNOSTAWSKI,16.56,12.5,13.0,12.29,11.6,13.83,13.0,2.76,2.5,3.71,3.35,2.1
