Region;District;Konie;Bydło rogate;Trzoda chlewna;Owce;Kozy
WARSZAWSKIE;PŁOCKI;19587.0;46886.0;42212.0;2545.0;194.0
WARSZAWSKIE;PŁOŃSKI;15141.0;38373.0;33797.0;3401.0;62.0
WARSZAWSKIE;RADZYMIŃSKI;9862.0;29625.0;19720.0;426.0;88.0
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);12748.0;38479.0;38973.0;7905.0;197.0
WARSZAWSKIE;RYPIŃSKI;15170.0;44517.0;34802.0;2332.0;527.0
WARSZAWSKIE;SIERPECKI;14178.0;40684.0;28961.0;2605.0;152.0
WARSZAWSKIE;SKIERNIEWICKI;8687.0;28897.0;24890.0;2684.0;109.0
WARSZAWSKIE;SOCHACZEWSKI;10562.0;31190.0;22831.0;191.0;139.0
WARSZAWSKIE;WARSZAWSKI;16881.0;28770.0;18007.0;481.0;680.0
WARSZAWSKIE;WŁOCŁAWSKI;16299.0;34841.0;31486.0;7298.0;1138.0
WARSZAWSKIE;ŁOWICKI;16468.0;51786.0;32907.0;2794.0;316.0
WOŁYŃSKIE;DUBIEŃSKI;51531.0;74670.0;79809.0;6758.0;731.0
WOŁYŃSKIE;HOROCHOWSKI;29759.0;43054.0;46144.0;2848.0;72.0
WOŁYŃSKIE;KOSTOPOLSKI;21781.0;72749.0;47408.0;25827.0;262.0
WOŁYŃSKIE;KOWELSKI;44876.0;99060.0;69196.0;41134.0;287.0
WOŁYŃSKIE;KRZEMIENIECKI;48661.0;65311.0;44737.0;18739.0;791.0
WOŁYŃSKIE;LUBOMELSKI;16352.0;34983.0;24573.0;13722.0;12.0
WOŁYŃSKIE;RÓWIEŃSKI;45023.0;70924.0;71209.0;8315.0;784.0
WOŁYŃSKIE;SARNEŃSKI;20917.0;82825.0;47116.0;40180.0;189.0
WOŁYŃSKIE;WŁODZIMIERSKI;33190.0;52713.0;48270.0;6093.0;201.0
WOŁYŃSKIE;ZDOŁBUNOWSKI;21226.0;29271.0;37046.0;5360.0;290.0
WOŁYŃSKIE;ŁUCKI;51346.0;108604.0;93209.0;21122.0;385.0
ZIEMIA WILEŃSKA;BRASŁAWSKI;27966.0;63772.0;37824.0;86454.0;304.0
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;29718.0;69112.0;47957.0;95789.0;671.0
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;14847.0;36500.0;34901.0;36288.0;163.0
ZIEMIA WILEŃSKA;OSZMIAŃSKI;19073.0;48151.0;37343.0;50462.0;88.0
ZIEMIA WILEŃSKA;POSTAWSKI;21342.0;44191.0;27440.0;58263.0;373.0
ZIEMIA WILEŃSKA;WILEJSKI;21952.0;54158.0;46319.0;43026.0;218.0
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;36198.0;89339.0;77729.0;72881.0;308.0
ZIEMIA WILEŃSKA;WILNO (MIASTO);547.0;1101.0;508.0;25.0;14.0
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;26093.0;55511.0;31851.0;63260.0;365.0
ŁÓDZKIE;BRZEZIŃSKI;12158.0;38383.0;26516.0;2460.0;737.0
ŁÓDZKIE;KALISKI;17219.0;48278.0;29194.0;1742.0;3327.0
ŁÓDZKIE;KOLSKI;15748.0;39830.0;34614.0;2404.0;2179.0
ŁÓDZKIE;KONIŃSKI;26953.0;74230.0;62911.0;4240.0;7406.0
ŁÓDZKIE;PIOTRKOWSKI;22989.0;65019.0;43450.0;11718.0;814.0
ŁÓDZKIE;RADOMSZCZAŃSKI;21608.0;61375.0;36056.0;7161.0;450.0
ŁÓDZKIE;SIERADZKI;18930.0;56802.0;39039.0;2290.0;2510.0
ŁÓDZKIE;TURECKI;14273.0;40735.0;29812.0;1977.0;1428.0
ŁÓDZKIE;WIELUŃSKI;20198.0;69334.0;43713.0;7093.0;4140.0
ŁÓDZKIE;ŁASKI;15760.0;45872.0;27501.0;4666.0;711.0
ŁÓDZKIE;ŁÓDZKI;11352.0;30379.0;10464.0;1450.0;572.0
ŁÓDZKIE;ŁÓDŹ (MIASTO);4432.0;2313.0;649.0;81.0;391.0
ŁÓDZKIE;ŁĘCZYCKI;19086.0;48298.0;35579.0;1659.0;839.0
ŚLĄSKIE;BIELSKI (BIELSKO);2630.0;15090.0;9656.0;457.0;1292.0
ŚLĄSKIE;BIELSKO (MIASTO);183.0;71.0;23.0;0.0;4.0
ŚLĄSKIE;CHORZÓW;1023.0;326.0;526.0;2.0;1479.0
ŚLĄSKIE;CIESZYŃSKI;3512.0;24056.0;16602.0;3555.0;2381.0
ŚLĄSKIE;KATOWICE (MIASTO);902.0;289.0;701.0;11.0;1433.0
ŚLĄSKIE;KATOWICKI;2088.0;1614.0;3141.0;15.0;8874.0
ŚLĄSKIE;LUBLINIECKI;3790.0;14250.0;8665.0;252.0;1621.0
ŚLĄSKIE;PSZCZYŃSKI;7968.0;36093.0;17941.0;211.0;10007.0
ŚLĄSKIE;RYBNICKI;7644.0;30576.0;23142.0;290.0;18146.0
ŚLĄSKIE;TARNOGÓRSKI;1161.0;3345.0;2654.0;14.0;3701.0
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;1642.0;1043.0;3082.0;20.0;6279.0
