Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VR;Kategoria VPR;Kategoria VIR;Kategoria VIPR;Kategoria VIIR;Kategoria VIIPR;Kategoria VIIIR;Kategoria VIIIPR;R;PR
Białostocka;OSTROWSKI (OSTRÓW MAZOWIECKA);0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;8.0;1.0;19.0;21.0;18.0;0.0;487.0;24.0;539.0;46.0
Wielkopolska;OSTROWSKI (OSTRÓW WIELKOPOLSKI);1.0;0.0;1.0;0.0;2.0;0.0;7.0;1.0;17.0;0.0;25.0;0.0;44.0;2.0;347.0;27.0;444.0;30.0
Białostocka;OSTROŁĘCKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;12.0;1.0;18.0;1.0;392.0;12.0;426.0;14.0
Wielkopolska;OSTRZESZOWSKI;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;11.0;0.0;9.0;1.0;18.0;3.0;218.0;6.0;257.0;10.0
Wileńska;OSZMIAŃSKI;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;13.0;1.0;61.0;3.0;307.0;29.0;383.0;35.0
Krakowska;OŚWIĘCIMSKI;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;8.0;1.0;12.0;4.0;22.0;1.0;376.0;23.0;422.0;29.0
Lwowska;PECZENIŻYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;4.0;0.0;12.0;0.0;90.0;25.0;109.0;25.0
Krakowska;PILZNEŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;13.0;1.0;11.0;2.0;148.0;9.0;173.0;12.0
Łódzka;PIOTRKOWSKI;4.0;0.0;3.0;0.0;1.0;0.0;15.0;1.0;23.0;2.0;70.0;4.0;104.0;4.0;744.0;23.0;964.0;34.0
Kielecka;PIŃCZOWSKI;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;3.0;0.0;23.0;0.0;23.0;2.0;495.0;29.0;548.0;31.0
Poleska;PIŃSKI;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;22.0;1.0;41.0;14.0;75.0;9.0;657.0;61.0;802.0;85.0
Wielkopolska;PLESZEWSKI;0.0;0.0;0.0;0.0;2.0;0.0;6.0;1.0;13.0;1.0;20.0;1.0;16.0;1.0;197.0;15.0;254.0;19.0
Lwowska;PODHAJECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;12.0;1.0;12.0;0.0;219.0;5.0;248.0;8.0
Wileńska;POSTAWSKI;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;18.0;4.0;18.0;3.0;56.0;7.0;169.0;10.0;267.0;24.0
Wielkopolska;POZNAŃ (MIASTO);2.0;0.0;3.0;0.0;8.0;0.0;91.0;2.0;130.0;5.0;132.0;8.0;361.0;18.0;2003.0;102.0;2730.0;135.0
Wielkopolska;POZNAŃSKI;1.0;0.0;2.0;0.0;2.0;0.0;12.0;2.0;21.0;1.0;50.0;2.0;47.0;0.0;353.0;21.0;488.0;26.0
Poleska;PRUŻAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;8.0;0.0;28.0;1.0;405.0;23.0;443.0;25.0
Warszawa Okręgowa;PRZASNYCKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;12.0;2.0;14.0;0.0;188.0;13.0;216.0;15.0
Lwowska;PRZEMYSKI;0.0;0.0;0.0;0.0;2.0;0.0;4.0;0.0;15.0;1.0;37.0;2.0;82.0;3.0;746.0;30.0;886.0;36.0
Lwowska;PRZEMYŚLAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;1.0;22.0;0.0;37.0;4.0;182.0;8.0;248.0;13.0
Lwowska;PRZEWORSKI;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;5.0;0.0;11.0;0.0;3.0;1.0;141.0;2.0;162.0;4.0
Śląska;PSZCZYŃSKI;7.0;0.0;3.0;0.0;5.0;0.0;20.0;4.0;35.0;1.0;33.0;1.0;58.0;8.0;690.0;26.0;851.0;40.0
Lubelska;PUŁAWSKI;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;1.0;27.0;2.0;65.0;5.0;662.0;31.0;767.0;39.0
Warszawa Okręgowa;PUŁTUSKI;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;9.0;1.0;13.0;0.0;19.0;0.0;452.0;7.0;498.0;8.0
Warszawa Okręgowa;PŁOCKI;2.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;13.0;1.0;23.0;3.0;64.0;7.0;533.0;25.0;642.0;36.0
Warszawa Okręgowa;PŁOŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;11.0;0.0;13.0;6.0;40.0;5.0;344.0;21.0;409.0;32.0
Kielecka;RADOMSKI;1.0;0.0;0.0;0.0;5.0;0.0;24.0;4.0;31.0;3.0;55.0;3.0;93.0;8.0;871.0;54.0;1080.0;72.0
Łódzka;RADOMSZCZAŃSKI;2.0;0.0;2.0;0.0;0.0;0.0;12.0;0.0;25.0;0.0;51.0;0.0;56.0;6.0;722.0;34.0;870.0;40.0
Lwowska;RADZIECHOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;8.0;0.0;32.0;5.0;11.0;1.0;164.0;6.0;217.0;12.0
Warszawa Okręgowa;RADZYMIŃSKI;0.0;0.0;0.0;0.0;3.0;0.0;8.0;0.0;13.0;0.0;10.0;1.0;25.0;3.0;364.0;20.0;423.0;24.0
Lubelska;RADZYŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;8.0;1.0;24.0;1.0;39.0;12.0;483.0;43.0;558.0;57.0
Wielkopolska;RAWICKI;1.0;0.0;0.0;0.0;0.0;0.0;10.0;2.0;11.0;0.0;15.0;1.0;22.0;0.0;385.0;21.0;444.0;24.0
Warszawa Okręgowa;RAWSKI (RAWA MAZOWIECKA);0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;23.0;2.0;33.0;2.0;357.0;31.0;417.0;35.0
Lwowska;RAWSKI (RAWA RUSKA);0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;42.0;0.0;20.0;0.0;488.0;0.0;557.0;0.0
