District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;Kategoria VaR;Kategoria VaPR;Kategoria VbR;Kategoria VbPR
SANOCKI;0.0;0.0;45.0;0.0;613.0;11.0;944.0;30.0;0.0;0.0;6.0;0.0
SARNEŃSKI;0.0;0.0;82.0;12.0;926.0;123.0;398.0;71.0;3.0;0.0;1.0;0.0
SIEDLECKI;3.0;0.0;91.0;2.0;787.0;55.0;615.0;130.0;2.0;1.0;49.0;5.0
SIERADZKI;0.0;0.0;111.0;8.0;1129.0;65.0;1259.0;154.0;7.0;1.0;155.0;18.0
SIERPECKI;0.0;0.0;58.0;2.0;565.0;25.0;760.0;139.0;0.0;0.0;3.0;0.0
SKAŁACKI;0.0;0.0;36.0;0.0;461.0;22.0;805.0;27.0;2.0;1.0;0.0;0.0
SKIERNIEWICKI;0.0;0.0;60.0;4.0;506.0;27.0;332.0;40.0;7.0;1.0;5.0;5.0
SKOLSKI;0.0;0.0;45.0;7.0;410.0;80.0;246.0;33.0;0.0;0.0;15.0;1.0
SOCHACZEWSKI;0.0;0.0;41.0;1.0;371.0;23.0;413.0;117.0;0.0;0.0;7.0;0.0
SOKALSKI;0.0;1.0;39.0;3.0;644.0;11.0;710.0;49.0;1.0;1.0;30.0;2.0
SOKOŁOWSKI;0.0;0.0;31.0;8.0;432.0;19.0;359.0;66.0;1.0;0.0;3.0;0.0
SOKÓLSKI;0.0;0.0;39.0;1.0;532.0;29.0;197.0;26.0;3.0;0.0;28.0;6.0
STANISŁAWOWSKI;5.0;0.0;211.0;12.0;1289.0;65.0;1070.0;91.0;1.0;1.0;20.0;10.0
STAROGARDZKI;4.0;0.0;102.0;1.0;532.0;32.0;293.0;31.0;5.0;1.0;23.0;1.0
STAROSAMBORSKI;0.0;0.0;8.0;0.0;292.0;21.0;440.0;19.0;0.0;0.0;7.0;0.0
STOLIŃSKI;0.0;0.0;49.0;8.0;673.0;81.0;296.0;47.0;2.0;0.0;0.0;1.0
STOPNICKI;0.0;0.0;66.0;19.0;469.0;76.0;1164.0;205.0;2.0;2.0;13.0;3.0
STOŁPECKI;0.0;0.0;62.0;1.0;524.0;36.0;227.0;54.0;16.0;1.0;1.0;0.0
STRYJSKI;1.0;0.0;71.0;2.0;671.0;25.0;479.0;31.0;0.0;0.0;17.0;10.0
STRZELNEŃSKI;2.0;0.0;63.0;3.0;344.0;18.0;76.0;13.0;5.0;0.0;11.0;1.0
STRZYŻOWSKI;0.0;0.0;23.0;0.0;365.0;19.0;375.0;19.0;1.0;0.0;7.0;0.0
SUWALSKI;2.0;0.0;117.0;6.0;716.0;64.0;312.0;79.0;0.0;0.0;0.0;0.0
SZAMOTULSKI;0.0;0.0;93.0;4.0;614.0;32.0;214.0;25.0;4.0;0.0;24.0;0.0
