Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka
WOŁYŃSKIE;WŁODZIMIERSKI;28679;25173;9790;16408;14006; 503 ; 1 891 
WOŁYŃSKIE;ZDOŁBUNOWSKI;15180;12855;9531;11810;7886; 1 267 ; 3 017 
WOŁYŃSKIE;ŁUCKI;43291;51944;19351;25442;23573; 261 ; 4 674 
ZIEMIA WILEŃSKA;BRASŁAWSKI;4423;39411;6830;20033;13046; -   ; 209 
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;5226;39569;7496;23377;13567; -   ; 36 
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;1506;21078;5042;13718;8261; -   ; 169 
ZIEMIA WILEŃSKA;OSZMIAŃSKI;639;31821;8039;20586;9793; -   ; 2 338 
ZIEMIA WILEŃSKA;POSTAWSKI;4192;26630;3846;11034;10021; -   ; 139 
ZIEMIA WILEŃSKA;WILEJSKI;893;35112;8720;15405;14900; -   ; 737 
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;3413;71142;12282;27441;19867; -   ; 13 007 
ZIEMIA WILEŃSKA;WILNO (MIASTO);;;;;;;
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;4928;37231;6530;16678;15497; -   ; 1 381 
ŁÓDZKIE;BRZEZIŃSKI;2779;33833;1017;8635;13285; 54 ; 60 
ŁÓDZKIE;KALISKI;9072;36895;2275;9247;15476; 1 242 ; 182 
ŁÓDZKIE;KOLSKI;6323;36856;3283;5096;14657; 643 ; 100 
ŁÓDZKIE;KONIŃSKI;7922;70348;5581;9625;25651; 0 ; 178 
ŁÓDZKIE;PIOTRKOWSKI;4511;56839;2732;11346;21869; 2 ; 236 
ŁÓDZKIE;RADOMSZCZAŃSKI;3796;53749;3954;9032;24161; 21 ; 272 
ŁÓDZKIE;SIERADZKI;4525;49969;1275;10378;19083; 220 ; 194 
ŁÓDZKIE;TURECKI;5202;37848;1459;6908;12742; 439 ; 1 111 
ŁÓDZKIE;WIELUŃSKI;2525;55271;1487;10628;22371; 712 ; 331 
ŁÓDZKIE;ŁASKI;2959;39650;1273;7479;15678; 14 ; 220 
ŁÓDZKIE;ŁÓDZKI;1292;26341;636;6074;12062; -   ; 52 
ŁÓDZKIE;ŁÓDŹ (MIASTO);;;;;;;
ŁÓDZKIE;ŁĘCZYCKI;10138;35159;2790;8130;14953; 1 755 ; 40 
ŚLĄSKIE;BIELSKI (BIELSKO);806;3241;460;4350;3402; 57 ; -   
ŚLĄSKIE;BIELSKO (MIASTO);;;;;;;
ŚLĄSKIE;CHORZÓW;;;;;;;
ŚLĄSKIE;CIESZYŃSKI;1632;3227;911;6204;4483; 38 ; 3 
ŚLĄSKIE;KATOWICE (MIASTO);;;;;;;
ŚLĄSKIE;KATOWICKI;246;2778;290;1265;2105; -   ; -   
ŚLĄSKIE;LUBLINIECKI;1254;7918;854;3507;4655; 65 ; 3 
ŚLĄSKIE;PSZCZYŃSKI;1985;15281;1213;8277;11038; 238 ; 15 
ŚLĄSKIE;RYBNICKI;2979;18093;1174;7500;11438; 540 ; -   
ŚLĄSKIE;TARNOGÓRSKI;193;2175;255;746;1785; 20 ; -   
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;147;1329;165;572;1232; -   ; -   
