District;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
MAKOWSKI (MAKÓW MAZOWIECKI);25900070,64;28583814,93;28183633,01;34694741,35;41656994,23;34900452,61;34317261,43;31034644,99;32056852,44;32162147,61;36191750,74;33253628,55;35085478,64;41508931,21;40315995,22
MIECHOWSKI;48799746,29;50477347,01;52852771,82;68349051,38;82825325,44;64372147,03;66383551,16;57981580,15;57948155,63;50514124,42;60235167,02;57526539,5;59873833,02;76503011,09;66862560,08
MIELECKI;18462001,24;19968619,74;21411256,44;26388900,3;32560199,29;22927604,6;22046709,55;18237070,14;22022611,14;19243050,92;18177973,41;24153447,33;27650899,37;37072749,43;33265718,4
MIĘDZYCHODZKI;23656275,79;24936586,82;27602514,41;29027188,23;30099524,2;25772503,4;25883263,87;22613320,04;25740035,42;26673742,05;31228331;24497769,21;27502074,44;33470681,05;34186073,21
MIŃSKI;48595050,79;52186206,96;49704620,11;57385645,01;65042451,76;61682978,61;67859280,01;63251787,73;65254191,6;66476732,7;72479631,66;65675860,75;76411622,18;88695347,73;83182884,65
MOGILEŃSKI;59105449,82;69595758,86;75062249,95;96635092;120419248,9;95379053,04;88982532,13;82917891,92;61100152,95;62500838,96;69198898,48;48669472,46;59204240,94;69376221,04;64311288,63
MORSKI;59755367,97;58763924,12;54637107,79;62080794,87;69308120,33;73447444,08;87275700,9;85015389,43;85526514,7;89617961,76;101072919,1;102714721,8;109768969,5;132629676,1;155594224,3
MOŁODECZAŃSKI;30875366,49;25370222,44;21410996,83;40476326,46;73506901,68;53927672,96;37353645,79;39744532,87;38233149,15;34171449,61;41169023,56;38641147,88;41365793,14;51614537,42;44935987,22
MOŚCISKI;19981356,66;20213677,51;20922289,97;26572745,01;35481987,98;26231900,04;26332443,15;22019199,75;26440462,57;23487910,06;23685894,76;25921836,17;28215140,97;36587136,74;31946332,1
MYŚLENICKI;31091192,63;38913990,67;43822200,85;47560949,64;53118902,35;36683149,56;32973967,35;27656419,86;32241957,24;30897922,73;31340373,45;32723417,82;33688563,68;46239353,99;44160569,42
MŁAWSKI;50266113,7;54820267,2;51171160,74;62819574,21;74102931,4;60183801,36;58186816,01;49234764,63;52898895,78;53846190,25;61192994,36;54294978,39;57281194,28;67437582,49;64796693,58
NADWÓRNIAŃSKI;43312831,46;43698220,16;44563566,9;56606229,29;71906182,84;62820957,26;67649707,98;62352632,77;56352882,29;56462974,18;61980847,32;63829398,09;65461633,7;77255514,04;77394448,09
NIESZAWSKI;56213334,83;62448595,62;59943841,32;72956122,37;87367392,41;72648847,44;70820720,37;61905948,32;61965001,73;63280626,16;72354545,77;57729189,29;65817114,55;75725269,6;65466480,48
NIEŚWIESKI;43071441,03;45058067,85;44147624,72;57488804,67;85260506,04;61920246,8;53801390,7;53802963,13;57079234,9;51874759,14;63156469,05;57704399,52;61038731,25;81350089,47;67112594,96
NIŻAŃSKI;21991786,29;22683037,56;23115345,23;27051784,09;32214048,94;24430075;23858387,6;21653765,93;24536769,07;24650102,42;27509777,47;30085100,39;31819174,82;38723981,13;35645710,06
NOWOGRÓDZKI;43540326,52;47294865,5;51760938,51;58349434,16;82343108,3;61934790,15;59147378,46;52369127,12;55126168,58;47993701,28;56919471,56;50854372,3;57812821,46;82785583,39;67697558,49
NOWOSĄDECKI;56391374,41;54067062,93;52600385,14;59541956,54;67217177,63;55342208,5;58358871,53;60727335,62;58619777,08;58223018,12;58919169,58;65477773,64;68942636,62;84919932,17;82374580,62
NOWOTARSKI;53606119,38;53991245,01;55714948,04;64532539,89;75058084,8;57678310,39;55355842,99;53260311,22;58541999,13;64007264,03;67742337,32;76701268,47;81197857,26;98109717,65;100829110,8
NOWOTOMYSKI;84019388,99;81721383,5;78374060,94;89305968,77;100894815,6;82887840,8;82279011,66;70240678,05;58033718,6;54372156,42;68491083,42;55707484,07;71184180,64;85716466,17;82415755,49
OBORNICKI;28516993,7;31350055,41;33725932,22;41114692,2;48650187,67;38213735,16;35797009,46;29989272,88;37132016,79;33027855,11;42086764,88;31743882,22;39653173,36;48450030,22;45903350,75
OLKUSKI;59641520,64;58822079,73;56228991,71;70958611,82;82649999,84;72009734,3;73108080,08;74776536,13;86791497,83;68284723,91;77523650,78;73342491,03;79824468,97;91881935,31;90334141,41
OPATOWSKI;67105191,54;65303514,81;67366733,52;91603015,52;112473163,5;93386641,96;91628950,7;88713059,02;97016199,13;76511532,76;87014533,94;87455006,31;94721519,18;113291900,2;112306444,3
OPOCZYŃSKI;38546968,51;42736422,74;40602882,68;59418341,47;76180862,05;55997253,78;49982824,08;50008607,27;50489073,86;43461749,3;53445489,83;53747524,58;57793495,64;73838310,76;69469200,34
OSTROWSKI (OSTRÓW MAZOWIECKA);24778522,79;28789145,76;31645832,63;38881558,92;47901962,05;37935022,83;36435982,16;31763528,42;32759285,55;33297703,19;39823256,47;36108661,55;41639228,31;50567946,12;43124851,85
OSTROWSKI (OSTRÓW WIELKOPOLSKI);59542005,22;67322905,71;73046757,89;78734089,21;84860006,98;77564718,96;83954788,71;72280647,93;58768714,78;53130615,39;63135546,38;48601107;58411075,69;69569001,22;67327300,73
OSTROŁĘCKI;38306976,15;42964496,19;48650585,57;58888685,64;74646445,96;56416582,15;53421165,73;49663540,01;40204925,76;38453169,88;41929820,05;37560043,95;41867123,91;54697345,87;48228558,4
OSZMIAŃSKI;30128478,75;34069252,9;43932878,5;44406708,64;56982849,57;44586629,79;37086581,39;36985464,42;38228511,1;33901927,23;43349583,64;39659013,34;42489287,06;54682287,97;44795298,08
PIOTRKOWSKI;97346067,87;92578576,66;87776606,21;115211233,3;151342473,3;124640567,6;115350336,6;99519602,9;102088653;104196382;116621057,8;119425144;125501687,4;145970164,3;136771401,6
PIŃCZOWSKI;33315428,57;37071777,92;42619582,31;56505638,12;69484517,84;51401515,66;47938781,66;41548792,94;45781951,78;38256006,32;44286523,66;42387984,94;44214635,14;56471780,47;51395789,74
PIŃSKI;58301372,32;58714072,74;65306800,62;84082118,37;120065690,5;97443718,3;86218184,81;63995914,35;79690026,82;72376292,31;79588252,09;82060628,27;87578054,74;124021967,5;107788898,6
PODHAJECKI;14704499;18963699,37;20842559,77;28538384,44;35350248,84;24260582,23;24239147,91;22665259,37;23310641,6;22644970,6;25268006,67;27210994,66;27585571,96;39119562,21;32551274,36
