scenario,District,log_change_ma_total,log_change_ma_total_no_self,log_change_ma_domestic,log_change_ma_domestic_no_self,log_change_ma_foreign
baseline,KRAKÓW (MIASTO),0.8841604978493578,0.9067700590114889,0.3340874693006093,0.3624617130952501,0.9070034746369728
baseline,KRASNOSTAWSKI,0.9731878676256152,0.9732376927091799,0.4640959267417646,0.5519623950571635,0.9732465170740952
baseline,KROTOSZYŃSKI,0.8403126310877944,0.8404333342850379,0.07656314900754779,0.47706182123325114,0.8404421291840762
baseline,KROŚNIEŃSKI,0.9386397372035127,0.9386697418973959,0.7304925113861387,0.3880641798779898,0.9386819159455548
baseline,KRZEMIENIECKI,1.0882044383026113,1.0882275430490793,0.5873579954146955,0.6319299692293416,1.0882308716880331
baseline,KUTNOWSKI,0.8684452151403015,0.8686762592715063,0.1677697467506647,0.7388507466276213,0.8686841676243766
baseline,KĘPIŃSKI,0.8830372482971711,0.8830758898477598,0.5016243381678525,0.8302265975798271,0.8830764882397197
baseline,LESKI,0.9460080088348803,0.9460255960247039,0.6364085960019654,0.5040055066557034,0.9460287184971321
baseline,LESZCZYŃSKI,0.8091078608568552,0.8091973704692705,0.2676865447613874,0.4348919093090604,0.8092089783767129
baseline,LIDZKI,1.0353112501081156,1.035318864002896,0.7033308703028833,0.4935248836216193,1.0353231498032365
baseline,LIMANOWSKI,0.9192755867071014,0.9193139692856107,0.4331116809258706,0.48004579118072677,0.919323052783863
baseline,LIPNOWSKI,1.0287175112380957,1.0287959628007215,0.30626668487979636,1.320758110719808,1.0287915758314377
baseline,LUBACZOWSKI,0.9729254881972906,0.9729694715866835,0.4023615937365257,0.5398442657322988,0.9729731687640637
