scenario,District,avg_inverse_distance_1924,avg_inverse_distance_1938,avg_inverse_distance_change_ratio_1938_vs_1924,avg_inverse_distance_proportional_change_1938_vs_1924
baseline,WOLSZTYŃSKI,0.00465136524050766,0.0048390922137139,1.0403595425212728,0.040359542521272884
baseline,WOŁKOWYSKI,0.004323988899160104,0.004375932264248334,1.0120128349770554,0.012012834977055473
baseline,WOŁOŻYŃSKI,0.0030024722388588385,0.0030252069583443708,1.0075719998977153,0.0075719998977153485
baseline,WRZESIŃSKI,0.005753510774220174,0.006032681080523657,1.0485217317319304,0.0485217317319305
baseline,WYRZYSKI,0.004992269959657262,0.005302818691994123,1.0622059173174565,0.06220591731745643
baseline,WYSOKOMAZOWIECKI,0.004692369813318748,0.00480162406716418,1.0232833851959677,0.023283385195967655
baseline,WĄBRZESKI,0.005251954646821422,0.005621245972675986,1.0703150256786902,0.0703150256786902
baseline,WĄGROWIECKI,0.00540567473139178,0.005708624694178961,1.0560429507583748,0.0560429507583749
baseline,WĘGROWSKI,0.005123781404860327,0.005225039869678267,1.019762448242208,0.019762448242208023
baseline,WŁOCŁAWSKI,0.005528980771566605,0.005894843546023718,1.0661718297771268,0.06617182977712684
baseline,WŁODAWSKI,0.004811475889214075,0.004841818579097805,1.0063063165195838,0.006306316519583836
baseline,WŁODZIMIERSKI,0.005050472678696493,0.005111531241509819,1.0120896729272248,0.012089672927224814
baseline,WŁOSZCZOWSKI,0.0049110106038007546,0.005094265059532965,1.0373150193547507,0.03731501935475059
baseline,ZALESZCZYCKI,0.0039376495258709,0.0039570746792222545,1.0049331849428773,0.004933184942877279
baseline,ZAMOJSKI,0.0055504285964721265,0.005600163097482406,1.0089604793838607,0.008960479383860694
baseline,ZBARASKI,0.004365356433854312,0.004388769150882503,1.005363300198495,0.005363300198494849
baseline,ZBOROWSKI,0.004692667953688796,0.004710106544323064,1.00371613564104,0.0037161356410399093
baseline,ZDOŁBUNOWSKI,0.00391584148121049,0.003967969731343598,1.0133121451374467,0.013312145137446635
baseline,ZŁOCZOWSKI,0.005139647608063529,0.005162042571177849,1.0043572954455449,0.004357295445544773
baseline,ŁASKI,0.005462549792354581,0.006074732958187788,1.1120691232306976,0.11206912323069759
baseline,ŁAŃCUCKI,0.005761179069595813,0.005839732055267191,1.013634880069244,0.013634880069244182
baseline,ŁOMŻYŃSKI,0.004375243363112551,0.004501808656533491,1.0289276008022787,0.028927600802278842
baseline,ŁOWICKI,0.006445789783713339,0.006622862490369359,1.027471064461865,0.027471064461864942
baseline,ŁUCKI,0.004151960693977624,0.004595264743068437,1.1067698087156317,0.10676980871563171
baseline,ŁUKOWSKI,0.005673404964962771,0.0057692295270529185,1.0168901325891473,0.016890132589147233
baseline,ŁUNINIECKI,0.003577666393808835,0.0036029178956441723,1.0070580929175048,0.007058092917504828
baseline,ŁÓDZKI,0.006317951777381817,0.006789581030984802,1.0746490746085482,0.07464907460854811
baseline,ŁÓDŹ (MIASTO),0.006185551968623893,0.006720064733328658,1.086413107094738,0.08641310709473814
baseline,ŁĘCZYCKI,0.005883876754106828,0.006538806660858137,1.1113092496871524,0.11130924968715243
baseline,ŚNIATYŃSKI,0.0037789479517077837,0.003800480716455717,1.005698084499471,0.005698084499470858
baseline,ŚREDZKI,0.005250663604717718,0.005492126135896274,1.0459870502771502,0.045987050277150214
baseline,ŚREMSKI,0.004694868244160224,0.004913415074084537,1.04655015190174,0.0465501519017399
baseline,ŚWIECKI,0.005138552892880741,0.005430336230175769,1.0567831728849735,0.056783172884973566
baseline,ŚWIĘCIAŃSKI,0.0028466452111209563,0.002879280961633733,1.011464635770302,0.011464635770302116
baseline,ŚWIĘTOCHŁOWICKI,0.007176569292617851,0.007712404071105673,1.0746644749935053,0.07466447499350518
baseline,ŻNIŃSKI,0.005459266545598764,0.0059012009525371695,1.080951241938295,0.08095124193829498
baseline,ŻYDACZOWSKI,0.005334194579540037,0.005356052406721166,1.004097680887939,0.004097680887939048
baseline,ŻYWIECKI,0.005146919433044001,0.005456713107177455,1.0601901153036382,0.06019011530363809
