scenario,year,District,avg_inverse_distance
baseline,1938,TARNOBRZESKI,0.00630979678082535
baseline,1938,TARNOGÓRSKI,0.006475355319937647
baseline,1938,TARNOPOLSKI,0.0048475587870758065
baseline,1938,TARNOWSKI,0.006340990241801453
baseline,1938,TCZEWSKI,0.004125079294388246
baseline,1938,TOMASZOWSKI,0.004458623014841804
baseline,1938,TORUŃSKI,0.006235116844919624
baseline,1938,TREMBOWELSKI,0.004602503018194864
baseline,1938,TUCHOLSKI,0.0050148018995975745
baseline,1938,TURCZAŃSKI,0.004757605476535787
baseline,1938,TURECKI,0.00429762215045697
baseline,1938,TŁUMACKI,0.00475716942009083
baseline,1938,WADOWICKI,0.005911555638440742
baseline,1938,WARSZAWSKI,0.007151691423879511
baseline,1938,WIELUŃSKI,0.00495373066541729
baseline,1938,WILEJSKI,0.0029433710187431925
baseline,1938,WILEŃSKO-TROCKI,0.0034536675632501983
baseline,1938,WILNO (MIASTO),0.0035677483704365963
baseline,1938,WOLSZTYŃSKI,0.0048390922137139
baseline,1938,WOŁKOWYSKI,0.004375932264248334
baseline,1938,WOŁOŻYŃSKI,0.0030252069583443708
baseline,1938,WRZESIŃSKI,0.006032681080523657
baseline,1938,WYRZYSKI,0.005302818691994123
baseline,1938,WYSOKOMAZOWIECKI,0.00480162406716418
baseline,1938,WĄBRZESKI,0.005621245972675986
baseline,1938,WĄGROWIECKI,0.005708624694178961
baseline,1938,WĘGROWSKI,0.005225039869678267
baseline,1938,WŁOCŁAWSKI,0.005894843546023718
baseline,1938,WŁODAWSKI,0.004841818579097805
baseline,1938,WŁODZIMIERSKI,0.005111531241509819
baseline,1938,WŁOSZCZOWSKI,0.005094265059532965
baseline,1938,ZALESZCZYCKI,0.0039570746792222545
baseline,1938,ZAMOJSKI,0.005600163097482406
baseline,1938,ZBARASKI,0.004388769150882503
baseline,1938,ZBOROWSKI,0.004710106544323064
baseline,1938,ZDOŁBUNOWSKI,0.003967969731343598
baseline,1938,ZŁOCZOWSKI,0.005162042571177849
baseline,1938,ŁASKI,0.006074732958187788
baseline,1938,ŁAŃCUCKI,0.005839732055267191
baseline,1938,ŁOMŻYŃSKI,0.004501808656533491
baseline,1938,ŁOWICKI,0.006622862490369359
baseline,1938,ŁUCKI,0.004595264743068437
baseline,1938,ŁUKOWSKI,0.0057692295270529185
baseline,1938,ŁUNINIECKI,0.0036029178956441723
baseline,1938,ŁÓDZKI,0.006789581030984802
baseline,1938,ŁÓDŹ (MIASTO),0.006720064733328658
baseline,1938,ŁĘCZYCKI,0.006538806660858137
baseline,1938,ŚNIATYŃSKI,0.003800480716455717
baseline,1938,ŚREDZKI,0.005492126135896274
baseline,1938,ŚREMSKI,0.004913415074084537
baseline,1938,ŚWIECKI,0.005430336230175769
baseline,1938,ŚWIĘCIAŃSKI,0.002879280961633733
baseline,1938,ŚWIĘTOCHŁOWICKI,0.007712404071105673
baseline,1938,ŻNIŃSKI,0.0059012009525371695
baseline,1938,ŻYDACZOWSKI,0.005356052406721166
baseline,1938,ŻYWIECKI,0.005456713107177455
baseline,1938,ŻÓŁKIEWSKI,0.005799246719251065
fixed14,1924,AUGUSTOWSKI,0.0004420650851949846
fixed14,1924,BARANOWICKI,0.0004986641415542902
fixed14,1924,BIALSKI (BIAŁA KRAKOWSKA),0.0006403291083923324
fixed14,1924,BIALSKI (BIAŁA PODLASKA),0.0006493376398557493
fixed14,1924,BIAŁOSTOCKI,0.0006015749282412745
fixed14,1924,BIELSKI (BIELSK PODLASKI),0.0005836421556877448
fixed14,1924,BIELSKO,0.000638291310593703
fixed14,1924,BIŁGORAJSKI,0.0006177076902893538
fixed14,1924,BOCHEŃSKI,0.0007232682003385251
fixed14,1924,BORSZCZOWSKI,0.00041458093495222697
