District,weighted_distance_to_center_km_1924,weighted_distance_to_center_km_1929,weighted_distance_to_center_km_1931,weighted_distance_to_center_km_1938,weighted_distance_to_center_miles_1924,weighted_distance_to_center_miles_1929,weighted_distance_to_center_miles_1931,weighted_distance_to_center_miles_1938,change_ratio_km_1938_vs_1924,proportional_change_km_1938_vs_1924,change_ratio_miles_1938_vs_1924,proportional_change_miles_1938_vs_1924
CHORZÓW,298.8539300774635,298.8915796094992,298.9062481555839,299.03602374449946,185.69916538616357,185.72255971353414,185.73167432268332,185.81231311014338,1.0006093065832824,0.0006093065832822965,1.0006093065832822,0.0006093065832822421
CHRZANOWSKI,295.4905357736116,295.434957592542,295.4151376855811,292.48643345009623,183.60924970418483,183.57471503423542,183.56239951882722,181.74258763931974,0.9898335074737658,-0.01016649252623427,0.9898335074737656,-0.010166492526234375
CIECHANOWSKI,210.4786497550978,210.4775323300574,210.47712653408175,210.47897386940215,130.78532907697488,130.78463474146008,130.7843825916089,130.7855304722043,1.0000015398915982,1.5398915982192658e-06,1.0000015398915982,1.5398915982872065e-06
CIESZYŃSKI,372.3531805299968,368.2692880558008,368.2567173453995,368.04587858075,231.36946813910464,228.831855788521,228.82404471362824,228.69303561959921,0.9884322138913494,-0.011567786108650632,0.9884322138913494,-0.011567786108650658
CZARNKOWSKI,500.45171524799224,500.653259826538,500.7339872457242,487.24760889047735,310.9661827553602,311.0914167116757,311.1415783888629,302.7615339838848,0.9736156237351055,-0.02638437626489454,0.9736156237351055,-0.026384376264894517
CZORTKOWSKI,519.3565595747684,519.3554454714337,519.3550421322194,519.2073036288473,322.7131047795334,322.7124125080302,322.7121618847393,322.62036146316046,0.9997126137271793,-0.0002873862728206348,0.9997126137271795,-0.0002873862728205759
CZĘSTOCHOWSKI,266.1096456852128,264.7476731140643,264.66911501698166,264.2367027413386,165.35281664906637,164.50652639055926,164.45771266721692,164.1890242190883,0.9929617622876784,-0.00703823771232156,0.9929617622876784,-0.007038237712321609
DOBROMILSKI,332.593777210559,332.6552124000125,332.67792886721725,333.80287655851464,206.66412793910226,206.70230198420816,206.71641733815164,207.4154272100408,1.0036353637103383,0.0036353637103384495,1.0036353637103383,0.0036353637103384057
DOLIŃSKI,432.49169158899866,432.5769492523595,432.60646112486467,432.63778862145347,268.7377948943477,268.7907715338879,268.80910935561826,268.82857535350115,1.0003378030960965,0.00033780309609656464,1.0003378030960965,0.0003378030960964746
DROHICKI,240.11782672916374,240.1303028030783,240.13407082939048,240.1438355868251,149.2022541125272,149.21000638305156,149.21234772532918,149.2184152624211,1.0001083170625673,0.00010831706256738296,1.0001083170625673,0.00010831706256730544
DROHOBYCKI,369.1900636231603,369.17879484538116,369.17475894515997,369.5773812892519,229.40399902358675,229.39699693186935,229.394489140513,229.64466698908373,1.001049101003127,0.0010491010031269934,1.001049101003127,0.0010491010031269648
DUBIEŃSKI,433.67291312838455,433.66696498509367,433.66495029696745,433.70214019900504,269.47177170349744,269.46807569975266,269.466823830977,269.489932557596,1.0000673942728164,6.739427281648263e-05,1.0000673942728164,6.739427281653077e-05
DZIAŁDOWSKI,272.44666111838404,272.26578811657635,272.19710600206184,272.61981234958796,169.29045426579142,169.17806502778515,169.13538795360716,169.39804541947584,1.0006355417625348,0.0006355417625348661,1.0006355417625348,0.0006355417625348725
DZIŚNIEŃSKI,594.5374817155275,594.3985232063952,594.3478839605073,594.2092417833331,369.42834955105906,369.342004763281,369.31053900442436,369.2243907761515,0.9994479070835917,-0.0005520929164083111,0.9994479070835917,-0.0005520929164083355
DĄBROWSKI,309.83124106850914,309.8265445234606,309.82472430268723,309.8365784447882,192.5201480939806,192.51722979708723,192.51609876468507,192.52346458481648,1.0000172267207807,1.7226720780762404e-05,1.0000172267207807,1.7226720780760104e-05
GARWOLIŃSKI,81.83568797878856,81.82392289914311,81.81951907761005,81.77871854772722,50.85032327506782,50.84301279576346,50.84027638877364,50.814924122719816,0.9993038559035992,-0.0006961440964008163,0.9993038559035993,-0.0006961440964007117
GNIEŹNIEŃSKI,389.0847483095257,389.2373929989964,389.2974195740863,387.3153662194565,241.7659791418383,241.8608281251794,241.89812689816958,240.66653642314992,0.9954524506607964,-0.004547549339203646,0.9954524506607964,-0.004547549339203607
GORLICKI,338.7363406775364,338.727628647706,338.7244298194478,338.7573333187248,210.48093874314148,210.47552534045374,210.47353768134008,210.49398296158935,1.0000619733954332,6.197339543318735e-05,1.0000619733954332,6.197339543317146e-05
GOSTYNIŃSKI,280.32742538288835,280.2541862253709,280.22571394842487,278.01174784413297,174.1873326375907,174.14182394904495,174.1241321018467,172.74843776965676,0.9917393828463538,-0.008260617153646264,0.9917393828463539,-0.008260617153646172
GOSTYŃSKI,445.84515526100927,445.8390481038823,445.8365886172252,445.4919256387981,277.0352499696886,277.03145515935745,277.02992690567385,276.8157633261056,0.999207730266791,-0.0007922697332090519,0.9992077302667908,-0.0007922697332091845
GRODZIEŃSKI,305.3063396068286,305.6070466853137,305.70065230245655,306.14516444322203,189.7085055478347,189.89535620590007,189.95352002182972,190.22972697524932,1.0027474858120329,0.002747485812032796,1.0027474858120329,0.0027474858120327722
