District,year,rural_pop,city_pop_sum,pop_total,MA_district
RADZIECHOWSKI,1913,53204.59999999998,7554.799999999999,60759.39999999998,9871.562718143135
SUWALSKI,1913,59886.79999999993,14222.8,74109.59999999993,7958.761021483134
KOŚCIAŃSKI,1924,62034.2,17960.300000000003,79994.5,16125.449641753381
ZBOROWSKI,1924,60262.4,13030.6,73293.0,13869.251911220717
MIĘDZYCHODZKI,1924,23192.8,7208.5,30401.3,12700.462366634078
KOŁOMYJSKI,1924,124666.6,38453.4,163120.0,14676.966465875932
DZIŚNIEŃSKI,1924,132628.8,13035.3,145664.09999999998,8659.301898195245
STOLIŃSKI,1924,89056.8,15638.5,104695.3,11850.36901712883
STANISŁAWOWSKI,1924,112528.4,61422.299999999996,173950.69999999998,16449.806468124643
ŚREDZKI,1924,39288.5,11956.900000000001,51245.4,16377.095022073832
WOŁKOWYSKI,1924,116588.1,15492.7,132080.80000000002,14881.812776233319
HORODEŃSKI,1924,74082.4,10728.7,84811.09999999999,12427.991658406503
KATOWICE,1924,99996.74774193668,213629.9,313626.6477419367,22429.314772847767
MIELECKI,1924,65590.2,8484.0,74074.2,20542.730566812304
PUŁAWSKI,1924,144050.4,11855.5,155905.9,18583.117020869686
RAWSKI (RAWA RUSKA),1924,95400.6,15845.899999999998,111246.5,18467.691145082437
MOGILEŃSKI,1924,66818.9,22719.0,89537.9,15894.056331715856
SOKALSKI,1924,86703.5,15142.2,101845.7,17794.697584058533
BUCZACKI,1924,104735.6,21680.0,126415.6,14426.050819809141
PRZEMYŚLAŃSKI,1924,73764.4,8927.3,82691.7,17252.851298556907
GOSTYNIŃSKI,1924,66287.0,12986.5,79273.5,17820.062537452428
BIŁGORAJSKI,1924,97722.4,7074.5,104796.9,17050.34483005469
RUDECKI,1924,66138.09999999999,8703.8,74841.9,16586.665050241198
RADOMSZCZAŃSKI,1924,153498.3,21294.4,174792.69999999998,19944.654957476618
STRYJSKI,1924,101572.19999999998,34810.4,136382.59999999998,14991.576302532576
PŁOŃSKI,1924,66889.09999999999,9664.3,76553.4,18438.772465021513
KRZEMIENIECKI,1924,201874.0,17246.7,219120.7,12713.68882217856
CHRZANOWSKI,1924,78785.29999999999,44300.600000000006,123085.9,22335.56184758035
MYŚLENICKI,1924,85153.59999999999,11358.1,96511.7,15291.119541564323
