District,MA_1913,MA_1939,delta,pct_change,log_change,from_year,to_year
SANOCKI,11620.59005961489,21265.891578122075,9645.301518507185,0.8300182236035982,0.6043259250570792,1913,1939
SARNEŃSKI,9924.474456350128,21418.233828066353,11493.759371716225,1.1581227219907846,0.76923873361139,1913,1939
SIEDLECKI,13172.47872914643,30054.52899512081,16882.05026597438,1.2816152990719858,0.8248836566290976,1913,1939
SIERADZKI,14393.186606317238,30779.741006835236,16386.554400517998,1.1384938477297206,0.7601017717715095,1913,1939
SIERPECKI,8539.400154160916,25686.96323082847,17147.563076667553,2.0080524120083787,1.1012928301407072,1913,1939
SKAŁACKI,9681.563704194727,20300.970545601496,10619.40684140677,1.0968689734289203,0.7404452671011335,1913,1939
SKIERNIEWICKI,15667.328812943808,35809.04775469063,20141.718941746825,1.2855872996746216,0.826623015248801,1913,1939
SOCHACZEWSKI,15216.79052085921,32427.76719960444,17210.97667874523,1.1310516928752081,0.7566156103892379,1913,1939
SOKALSKI,8279.830899957713,26807.79692589379,18527.966025936075,2.237722756636334,1.1748702297973264,1913,1939
SOKOŁOWSKI,12660.297906742098,28996.093718612305,16335.795811870206,1.2903168576444601,0.8286901737780941,1913,1939
SOKÓLSKI,10310.900822628959,23748.741632126847,13437.840809497888,1.3032654508717942,0.8343278772756424,1913,1939
STANISŁAWOWSKI,11657.792133426725,24301.94425433442,12644.152120907695,1.0846095020559465,0.7345815485281548,1913,1939
STAROGARDZKI,9656.518896053429,20731.780092877667,11075.261196824238,1.1469206777351868,0.7640345725854392,1913,1939
STOLIŃSKI,8469.684752553265,18252.289989676763,9782.605237123498,1.1550140911885105,0.7677972623689087,1913,1939
STOPNICKI,10133.894160317395,22658.190996465535,12524.29683614814,1.23588194607273,0.8046357569727185,1913,1939
STOŁPECKI,7576.763988238842,16626.648430539244,9049.884442300401,1.1944260711232704,0.7859205413231738,1913,1939
STRYJSKI,10587.098028363878,21650.546211643872,11063.448183279994,1.0449934584189098,0.7153945906724886,1913,1939
SUWALSKI,7958.761021483134,18108.241274502077,10149.480253018944,1.2752588280540635,0.8220938165047471,1913,1939
SZAMOTULSKI,10345.414608540275,22483.698669944737,12138.284061404462,1.173300879733147,0.7762471545208367,1913,1939
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),9270.610073352094,21208.111416710282,11937.501343358188,1.287671604015785,0.8275345335027957,1913,1939
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),8143.89885714516,17719.74142020245,9575.84256305729,1.1758302418817235,0.777410312109339,1913,1939
SZUBIŃSKI,12317.375926740653,26482.69480676923,14165.318880028575,1.1500273243488568,0.7654805510582818,1913,1939
SĘPOLEŃSKI,10928.455968530974,23492.730659781577,12564.274691250603,1.1496843403523833,0.7653210129199373,1913,1939
SŁONIMSKI,9441.685134811945,21300.040460572138,11858.355325760192,1.2559575072078886,0.8135744980009267,1913,1939
TARNOBRZESKI,12319.94889672363,32650.293379932566,20330.344483208937,1.6501971439683154,0.9746340311813455,1913,1939
TARNOGÓRSKI,16625.21753235708,34615.75260048128,17990.5350681242,1.0821232884989236,0.7333881848175228,1913,1939
