scenario,District,log_change_ma_total,log_change_ma_domestic,log_change_ma_foreign
fixed14,JASIELSKI,0.5658341063684631,0.25487822260824355,0.5658352956180437
fixed14,JAWOROWSKI,0.5317662804432466,0.4752454979562417,0.5317664645186184
fixed14,JĘDRZEJOWSKI,0.5404360220822682,0.3484701419090728,0.540436562666553
fixed14,KALISKI,0.5756337272255081,0.05313046374794972,0.5756364080703875
fixed14,KAMIONECKI,0.5316290725029056,0.609495586198566,0.5316288466960302
fixed14,KARTUSKI,0.5557484250045697,0.7151302277363198,0.5557481063874334
fixed14,KATOWICE,0.6057167762108051,0.15219095786865644,0.6058121032272226
fixed14,KAŁUSKI,0.5312515403978715,0.5135581855437552,0.5312515853759052
fixed14,KIELECKI,0.5305877493087152,0.6612521463041796,0.5305872961457432
fixed14,KOBRYŃSKI,0.5319753435943078,0.4952478289375799,0.5319753830550873
fixed14,KOLBUSZOWSKI,0.5511184466551882,0.41525110719616176,0.5511188421943842
fixed14,KOLSKI,0.5739096907316785,0.0266842420132134,0.5739118470400442
fixed14,KONECKI,0.5308821958048995,0.6613574758052296,0.5308817633004281
fixed14,KONIŃSKI,0.5686848118060901,-0.03457109504664224,0.5686863679581542
fixed14,KOPYCZYNIECKI,0.530318710397097,0.5446412009670798,0.530318655508399
fixed14,KOSOWSKI (KOSÓW HUCULSKI),0.5322418272990248,0.444099236989147,0.5322419508940257
fixed14,KOSTOPOLSKI,0.5300515766082938,1.0764108560462038,0.5300508808255238
fixed14,KOSZYRSKI,0.5320642312851795,0.862603569371089,0.5320639826732823
fixed14,KOWELSKI,0.5291280208858034,0.7226243813167654,0.5291278625238895
fixed14,KOZIENICKI,0.5293990454371276,0.5991841938021709,0.5293988860643957
